Id,Name,Wiki
allMis,,
bosTau,Cow,"Cattle (colloquially cows) are the most common type of large domesticated ungulates. They are a prominent modern member of the subfamily Bovinae, are the most widespread species of the genus Bos, and are most commonly classified collectively as Bos primigenius. Cattle are raised as livestock for meat, as dairy animals for milk and other dairy products, and as draft animals (oxen / bullocks). Other products include leather and dung for manure or fuel."
calJac,Marmoset,"Marmosets are the 22 New World monkey species of the genera Callithrix, Cebuella, Callibella, and Mico. All four genera are part of the biological family Callitrichidae. The term marmoset is also used in reference to the Goeldi's marmoset, Callimico goeldii, which is closely related. Most marmosets are about 20 centimetres (8_in) long. Relative to other monkeys, they show some apparently primitive features: they have claws rather than nails, and tactile hairs on their wrists."
canFam,Dog,"The domestic dog (Canis lupus familiaris), is a subspecies of the gray wolf (Canis lupus), a member of the Canidae family of the mammilian order Carnivora. The term &quot;domestic dog&quot; is generally used for both domesticated and feral varieties. The dog may have been the first animal to be domesticated, and has been the most widely kept working, hunting, and companion animal in human history."
capHir,Goat,"The domestic goat (Capra aegagrus hircus) is a subspecies of goat domesticated from the wild goat of southwest Asia and Eastern Europe. The goat is a member of the family Bovidae and is closely related to the sheep as both are in the goat-antelope subfamily Caprinae. There are over 300 distinct breeds of goat. Goats are one of the oldest domesticated species, and have been used for their milk, meat, hair, and skins over much of the world."
cavPor,,
choHof,,
cynVol,,
dasNov,,
dipOrd,,
droNov,,
echTel,,
equCab,Horse,"Horse racing is an equestrian sport that has a long history. Archaeological records indicate that horse racing occurred in ancient Babylon, Syria, and Egypt. Both chariot and mounted horse racing were events in the ancient Greek Olympics by 648 BC. In the Roman Empire, chariot and mounted horse racing were major industries. Thoroughbred racing was, and is, popular with the aristocrats and royalty of British society, earning it the title &quot;Sport of Kings."
eriEur,,
felCat,,
galGal,Chicken,"The chicken (Gallus gallus domesticus) is a domesticated fowl, a subspecies of the Red Junglefowl. As one of the most common and widespread domestic animals, and with a population of more than 24 billion in 2003, there are more chickens in the world than any other species of bird. Humans keep chickens primarily as a source of food, consuming both their meat and their eggs."
gorGor,,
homSap,Human,"Modern humans (Homo sapiens, ssp. Homo sapiens sapiens) are the only extant members of the subtribe Hominina, a branch of the tribe Hominini belonging to the family of great apes. They are characterized by erect posture and bipedal locomotion; high manual dexterity and heavy tool use compared to other animals; and a general trend toward larger, more complex brains and societies."
loxAfr,,
macEug,,
manPen,,
micMur,,
monDom,Opossum,"Opossums (colloquially possums) make up the largest order of marsupials in the Western Hemisphere, including 103 or more species in 19 genera. They are also commonly called possums, though that term technically refers to Australian fauna of the suborder Phalangeriformes. The Virginia opossum was the first animal to be named an opossum; usage of the name was published in 1610."
musMus,Mouse,"A mouse (plural: mice) is a small rodent characteristically having a pointed snout, small rounded ears, a body-length scaly tail and a high breeding rate. The best known mouse species is the common house mouse (Mus musculus). It is also a popular pet. In some places, certain kinds of field mice are locally common. They are known to invade homes for food and shelter."
myoLuc,,
nomLeu,,
ochPri,,
ornAna,,
oryCun,,
otoGar,,
oviAri,,
panTro,Chimpanzee,"The taxonomical genus Pan (often referred to as chimpanzees or chimps) consists of two extant species: the common chimpanzee and the bonobo. Together with humans, gorillas and orangutans they are part of the family Hominidae (the great apes). Native to sub-Saharan Africa, common chimpanzees and bonobos are currently both found in the Congo jungle, while only the common chimpanzee is also found further north in West Africa."
ponAbe,Orangutan,"The orangutans are the two exclusively Asian species of extant great apes. Native to Indonesia and Malaysia, orangutans are currently found only in the rainforests of Borneo and Sumatra. Classified in the genus Pongo, orangutans were considered to be one species. However, since 1996, they were divided into two species: the Bornean orangutan (P. pygmaeus) and the Sumatran orangutan (P. abelii). In addition, the Bornean species is divided into three subspecies."
proCap,,
pteVam,,
ratNor,,
rheMac,Macaque,"The rhesus macaque (Macaca mulatta), also called the rhesus monkey, is one of the best-known species of Old World monkeys. It is listed as Least Concern in the IUCN Red List of Threatened Species in view of its wide distribution, presumed large population, and its tolerance of a broad range of habitats. Native to South, Central and Southeast Asia, troops of Macaca mulatta inhabit a great variety of habitats from grasslands to arid and forested areas, but also close to human settlements."
sorAra,,
speTri,,
susScr,Pig,"A pig is any of the animals in the genus Sus, within the Suidae family of even-toed ungulates. Pigs include the domestic pig, its ancestor the wild boar, and several other wild relatives. Pigs are omnivores and are highly social and intelligent animals."
tarSyr,,
taeGut,,
tupBel,,
turTru,,
vicPac,,
SIM,Simian,
BOR,Boreoeutherian,
EUA,Euarchontoglires,
EUT,Eutherian,
HUC,Human-Chimp,
GAP,Great Apes,
CAT,Catarrhini,
