name,chr,start,end,direction
EUA,1,0,2002507,+
musMus,6,87999077,89675535,+
EUA,1,2002507,4777846,+
musMus,6,90302019,92225474,˙
EUA,1,4777846,29395363,+
musMus,6,92299157,116195332,-
EUA,1,29395363,35195821,+
musMus,14,8002489,14121407,-
EUA,1,35195821,40375009,+
musMus,14,26403529,30984668,+
EUA,1,40375009,44257527,+
musMus,9,106194181,109162546,+
EUA,1,44257527,46232130,+
musMus,9,109794977,111068850,+
EUA,1,46232130,55396154,+
musMus,9,118496105,124130422,-
EUA,1,55396154,64747702,+
musMus,9,111085836,118403398,+
EUA,1,64747702,70663816,+
musMus,14,14511025,18990432,+
EUA,1,70663816,74832479,+
musMus,17,49983236,53691404,-
EUA,1,74832479,75964289,+
musMus,14,31335946,32086769,-
EUA,1,75964289,94296256,+
musMus,9,90313787,106051732,-
EUA,1,94296256,95044384,+
musMus,3,19953146,20367697,-
EUA,1,95044384,97166076,+
musMus,3,57250246,59289823,+
EUA,1,97166076,101530968,+
musMus,3,60002992,64111622,+
EUA,1,101530968,112301633,+
musMus,3,64902530,74566037,+
EUA,1,112301633,113037405,+
musMus,3,75218217,75982763,+
EUA,1,113037405,115698180,+
musMus,3,28984577,31510930,+
EUA,1,115698180,123164452,+
musMus,3,20588131,28746506,-
EUA,1,123164452,127855449,+
musMus,3,31740610,36001328,+
EUA,1,127855449,131385158,+
musMus,16,19718371,22963922,+
EUA,1,131385158,135920937,+
musMus,16,23267164,27538439,+
EUA,1,135920937,141658728,+
musMus,16,27963632,32810691,+
EUA,1,141658728,145142365,+
musMus,16,33145395,36121822,+
EUA,1,145142365,168541427,+
musMus,16,36462882,58688744,+
EUA,1,168541427,215683269,+
musMus,16,59457004,97964954,+
EUA,1,215683269,217352254,+
musMus,17,30953887,32065118,+
EUA,1,217352254,220338031,+
musMus,10,76207173,78465073,-
EUA,2,0,6525607,+
musMus,8,123641854,126930572,+
EUA,2,6525607,11367301,+
musMus,13,9868952,14199762,-
EUA,2,11367301,19993294,+
musMus,1,174498297,180925454,+
EUA,2,19993294,21305907,+
musMus,1,181098599,182132897,-
EUA,2,21305907,38003332,+
musMus,1,182226979,195221307,+
EUA,2,38003332,48513498,+
musMus,1,130438103,139494432,+
EUA,2,48513498,81452596,+
musMus,1,140085705,169403963,+
EUA,2,81452596,85904005,+
musMus,1,169951638,174449617,+
EUA,2,85904005,90754819,+
musMus,3,86995711,90643732,+
EUA,2,90754819,91797191,+
musMus,3,92248576,93471902,+
EUA,2,91797191,122138613,+
musMus,3,94304655,122413284,+
EUA,2,122138613,126155543,+
musMus,5,105394263,108283230,-
EUA,2,126155543,132845092,+
musMus,3,142494667,148116930,+
EUA,2,132845092,146030275,+
musMus,3,149213487,159939079,+
EUA,2,146030275,146866203,+
musMus,6,66878038,67492072,+
EUA,2,146866203,155416674,+
musMus,4,94942000,103299247,-
EUA,2,155416674,165775550,+
musMus,4,103313481,112028509,+
EUA,2,165775550,166921095,+
musMus,4,114274490,115134897,+
EUA,2,166921095,200818651,+
musMus,4,115579023,143440210,+
EUA,2,200818651,212839994,+
musMus,4,144882995,156255944,+
EUA,3,0,1090115,+
musMus,5,108312903,108777390,+
EUA,3,1090115,4115793,+
musMus,5,33204426,35345527,+
EUA,3,4115793,43044511,+
musMus,5,35647264,69387477,+
EUA,3,43044511,77428745,+
musMus,5,69861407,100436494,+
EUA,3,77428745,81224670,+
musMus,5,101093241,104409174,+
EUA,3,81224670,87069883,+
musMus,6,58811163,65173645,+
EUA,3,87069883,101901138,+
musMus,3,130280140,142468432,-
EUA,3,101901138,111604044,+
musMus,3,122646524,129483950,-
EUA,3,111604044,112979017,+
musMus,6,65464881,66542204,-
EUA,3,112979017,131983915,+
musMus,3,36175938,52219067,+
EUA,3,131983915,141689836,+
musMus,8,75285333,83465667,-
EUA,3,141689836,153933800,+
musMus,3,76056435,86963080,-
EUA,3,153933800,179109708,+
musMus,8,43848776,67397345,-
EUA,3,179109708,186740174,+
musMus,8,36215431,43487525,-
EUA,3,186740174,194215994,+
musMus,8,27668008,34822045,-
EUA,3,194215994,194775319,+
musMus,8,26814885,27280975,+
EUA,3,194775319,199430537,+
musMus,8,22436517,25841551,-
EUA,3,199430537,200312170,+
musMus,8,25938217,26164209,-
EUA,4,0,689084,+
musMus,11,48794327,49294901,+
EUA,4,689084,3058065,+
musMus,11,49597191,51659658,+
EUA,4,3058065,5835909,+
musMus,13,53772204,55613721,-
EUA,4,5835909,6372227,+
musMus,13,53454064,53768175,+
