name,chr,start,end,direction
SIM,1,0,4803650,+
rheMac,2,187999633,192597182,-
SIM,1,4803650,10965495,+
rheMac,2,181447854,187507526,-
SIM,1,10965495,54904137,+
rheMac,2,101354629,147626708,+
SIM,1,54904137,55463763,+
rheMac,6,28205898,28742757,+
SIM,1,55463763,73724830,+
rheMac,2,148162133,166180183,+
SIM,1,73724830,74103000,+
rheMac,3,133298328,133680294,+
SIM,1,74103000,88940881,+
rheMac,2,166562199,181425122,+
SIM,1,88940881,141683243,+
rheMac,2,47138032,101354318,-
SIM,1,141683243,145594340,+
rheMac,11,84266398,88239006,+
SIM,1,145594340,193160306,+
rheMac,2,119602,46959891,-
SIM,1,193160306,226357200,+
rheMac,3,0,32930380,-
SIM,2,0,4135311,+
rheMac,1,7,3965806,-
SIM,2,4135311,47809135,+
rheMac,5,644957,44730960,+
SIM,2,47809135,64700059,+
rheMac,5,61728527,78565502,-
SIM,2,64700059,77252190,+
rheMac,5,48797628,61244012,-
SIM,2,77252190,80299103,+
rheMac,5,44816800,47918975,-
SIM,2,80299103,105935422,+
rheMac,5,78985805,104885076,+
SIM,2,105935422,106413558,+
rheMac,5,104900073,105336116,-
SIM,2,106413558,168633761,+
rheMac,5,105349471,166940201,+
SIM,2,168633761,185319467,+
rheMac,5,167529207,184045590,+
SIM,3,0,3315436,+
rheMac,6,176843155,180265955,-
SIM,3,3315436,41619351,+
rheMac,6,137332675,176390324,-
SIM,3,41619351,42522055,+
rheMac,5,47918983,48797643,+
SIM,3,42522055,51967457,+
rheMac,6,127003193,136403090,-
SIM,3,51967457,80637407,+
rheMac,6,97569626,126378912,-
SIM,3,80637407,151603018,+
rheMac,6,28743103,97253172,-
SIM,3,151603018,177807488,+
rheMac,6,1279571,28186945,-
SIM,3,177807488,178382022,+
rheMac,14,92886737,93444409,+
SIM,3,178382022,179334197,+
rheMac,6,1049,706956,-
SIM,4,0,11572791,+
rheMac,4,158211279,169846032,-
SIM,4,11572791,62617501,+
rheMac,4,106180184,158211011,+
SIM,4,62617501,101985656,+
rheMac,4,65693247,106180192,-
SIM,4,101985656,102502452,+
rheMac,2,187507829,187999632,-
SIM,4,102502452,170816188,+
rheMac,4,64019,65200925,-
SIM,5,0,39687431,+
rheMac,3,158767942,198354318,-
SIM,5,39687431,40196337,+
rheMac,3,158226675,158762184,+
SIM,5,40196337,64325804,+
rheMac,3,133680572,158224190,-
SIM,5,64325804,125817750,+
rheMac,3,71398978,133298343,-
SIM,5,125817750,128089717,+
rheMac,3,59073701,61696575,-
SIM,5,128089717,128416164,+
rheMac,3,58296065,58634150,-
SIM,5,128416164,135079122,+
rheMac,3,50562850,57453522,-
SIM,5,135079122,139720147,+
rheMac,3,45553831,50108954,-
SIM,5,139720147,140151100,+
rheMac,3,44571350,45043298,+
SIM,5,140151100,140799066,+
rheMac,3,43564209,44250357,+
SIM,5,140799066,145491646,+
rheMac,3,38597631,43542375,-
SIM,6,0,72129332,+
rheMac,8,78048208,150126665,-
SIM,6,72129332,92546485,+
rheMac,8,57195751,77602001,-
SIM,6,92546485,99363954,+
rheMac,8,49738417,55785951,-
SIM,6,99363954,113735851,+
rheMac,8,29565475,44202605,-
SIM,6,113735851,130391077,+
rheMac,8,12453433,29549207,+
SIM,6,130391077,137207815,+
rheMac,8,129899,7044868,-
SIM,7,0,6841980,+
rheMac,14,1275,6600600,+
SIM,7,6841980,54986454,+
rheMac,14,6957486,52905209,+
SIM,7,54986454,55463659,+
rheMac,14,91668344,92082067,+
SIM,7,55463659,64397079,+
rheMac,14,53413111,62441268,+
SIM,7,64397079,65796644,+
rheMac,8,55785976,57195364,-
SIM,7,65796644,85343454,+
rheMac,14,63840374,85204558,+
SIM,7,85343454,90437079,+
rheMac,14,86332716,91669223,+
SIM,7,90437079,91230528,+
rheMac,14,92082088,92886406,+
SIM,7,91230528,101290355,+
rheMac,14,93444728,103397601,+
SIM,7,101290355,133547537,+
rheMac,14,103913951,135527575,+
SIM,8,0,24623766,+
rheMac,11,110487283,134983538,-
SIM,8,24623766,25404649,+
rheMac,7,40065403,40865037,+
SIM,8,25404649,46792298,+
rheMac,11,88251022,109696566,-
SIM,8,46792298,111416276,+
rheMac,11,22371135,84119962,-
SIM,8,111416276,122432926,+
rheMac,11,10031165,21214406,-
SIM,8,122432926,131826255,+
rheMac,11,69215,9657316,-
SIM,9,0,1767700,+
rheMac,13,136658815,137160470,+
SIM,9,1767700,14352063,+
rheMac,13,122550674,135732696,-
SIM,9,14352063,14784523,+
rheMac,X,151278209,151701844,+
SIM,9,14784523,23684358,+
rheMac,13,114134361,122130844,-
SIM,9,23684358,128260834,+
rheMac,12,578751,106341905,+
SIM,10,0,83329303,+
rheMac,9,47998728,130909562,-
SIM,10,83329303,84528243,+
rheMac,9,47289117,47812315,+
SIM,10,84528243,88167072,+
rheMac,9,40770702,44142900,-
SIM,10,88167072,98736817,+
rheMac,9,27033562,37670851,-
SIM,10,98736817,124718182,+
rheMac,9,907884,26724462,-
SIM,11,0,39046601,+
rheMac,1,85001761,123986109,-
SIM,11,39046601,39817485,+
rheMac,14,85209285,85980837,-
SIM,11,39817485,120398945,+
rheMac,1,4101327,84226100,-
SIM,12,0,39277005,+
rheMac,13,3120,37287523,+
SIM,12,39277005,50901977,+
rheMac,13,38553968,50052806,+
SIM,12,50901977,88847048,+
rheMac,13,50668946,89256630,+
SIM,12,88847048,107676076,+
rheMac,13,95613235,112578401,-
SIM,13,0,10442573,+
rheMac,15,10252,10862748,+
SIM,13,10442573,14066483,+
rheMac,15,99479481,103562997,+
SIM,13,14066483,28103117,+
