name,chr,start,end,direction
CAT,1,0,4803650,+
rheMac,2,187999633,192597182,-
CAT,1,4803650,5737791,+
rheMac,2,186594203,187507526,-
CAT,1,6155080,10965495,+
rheMac,2,181447854,186211170,-
CAT,1,10965495,54171586,+
rheMac,2,101354629,147626708,+
CAT,1,54171586,54731212,+
rheMac,6,28205898,28742757,+
CAT,1,54731212,72992279,+
rheMac,2,148162133,166180183,+
CAT,1,72992279,73370449,+
rheMac,3,133298328,133680294,+
CAT,1,73370449,88208330,+
rheMac,2,166562199,181425122,+
CAT,1,88208330,103841501,+
rheMac,2,85422512,101354318,-
CAT,1,104312680,140950692,+
rheMac,2,47138032,84913603,-
CAT,1,140950692,144720149,+
rheMac,11,84266398,88239006,+
CAT,1,144720149,173489947,+
rheMac,2,18467164,46959891,-
CAT,1,173800857,192635202,+
rheMac,2,119602,18308301,-
CAT,2,0,44428814,+
rheMac,5,64052,44730960,+
CAT,2,44428814,73494067,+
rheMac,5,48797628,78565502,-
CAT,2,73494067,74676362,+
rheMac,5,46747858,47918975,-
CAT,2,75333962,76540980,+
rheMac,5,44816800,46041514,-
CAT,2,76540980,79418247,+
rheMac,5,78985805,81904696,+
CAT,2,79923322,84882752,+
rheMac,5,82476724,87453552,+
CAT,2,85191393,102112632,+
rheMac,5,87743168,104885076,+
CAT,2,102112632,102590768,+
rheMac,5,104900073,105336116,-
CAT,2,102590768,164593648,+
rheMac,5,105349471,166940201,+
CAT,2,164593648,181279354,+
rheMac,5,167529207,184045590,+
CAT,3,0,952175,+
rheMac,6,1049,706956,+
CAT,3,952175,1526709,+
rheMac,14,92886737,93444409,-
CAT,3,1526709,24207601,+
rheMac,6,1279571,24914592,+
CAT,3,24834091,25663728,+
rheMac,6,25549446,26306656,+
CAT,3,25663728,27309967,+
rheMac,6,26623492,28186945,+
CAT,3,27714751,36362689,+
rheMac,6,28743103,37457123,+
CAT,3,37014542,42238577,+
rheMac,6,38120676,43372799,+
CAT,3,42935492,50855176,+
rheMac,6,44129294,54055593,+
CAT,3,51205930,121586219,+
rheMac,6,54422662,126378912,+
CAT,3,121586219,131031621,+
rheMac,6,127003193,136403090,+
CAT,3,131031621,131934325,+
rheMac,5,47918983,48797643,-
CAT,3,131934325,173704983,+
rheMac,6,137332675,180265955,+
CAT,4,0,24111719,+
rheMac,4,64019,24468134,+
CAT,4,24507537,63799745,+
rheMac,4,24856823,65200925,+
CAT,4,63799745,64316541,+
rheMac,2,187507829,187999632,+
CAT,4,64316541,103534696,+
rheMac,4,65693247,106180192,+
CAT,4,103534696,108059113,+
rheMac,4,153690186,158211011,-
CAT,4,108399628,137369167,+
rheMac,4,124005226,153357966,-
CAT,4,137702030,154147726,+
rheMac,4,106180184,123668569,-
CAT,4,154147726,155412789,+
rheMac,4,158211279,159496419,+
CAT,4,155782720,165720517,+
rheMac,4,159787979,169846032,+
CAT,5,0,4012968,+
rheMac,X,151705076,155297366,-
CAT,5,4012968,29520292,+
rheMac,X,125895522,151272901,-
CAT,5,29980845,33131402,+
rheMac,X,122111140,125397839,-
CAT,5,33619146,56869789,+
rheMac,X,98313531,121586642,-
CAT,5,57380703,127568558,+
rheMac,X,21318190,97848881,-
CAT,5,127568558,128599981,+
rheMac,10,34684603,35711816,-
CAT,5,128599981,136463007,+
rheMac,X,12221672,20243784,-
CAT,5,137692587,149727180,+
rheMac,X,678,10971351,-
CAT,6,0,6784539,+
rheMac,8,129899,7044868,+
CAT,6,7155102,22763726,+
rheMac,8,8791262,24779090,+
CAT,6,23477860,48566790,+
rheMac,8,25528418,55785951,+
CAT,6,48566790,68977668,+
rheMac,8,57195751,77602001,+
CAT,6,68977668,78625932,+
rheMac,8,78048208,87682475,+
CAT,6,79162247,136731724,+
rheMac,8,88299532,145962762,+
CAT,6,137301086,141011944,+
rheMac,8,146540147,150126665,+
CAT,7,0,39285579,+
rheMac,3,158767942,198354318,-
CAT,7,39285579,39794485,+
rheMac,3,158226675,158762184,+
CAT,7,39794485,63904466,+
rheMac,3,133680572,158224190,-
CAT,7,63904466,126191859,+
rheMac,3,70135614,133298343,-
CAT,7,127041035,128416925,+
rheMac,3,60565221,61696575,-
CAT,7,128416925,134885556,+
rheMac,3,52936765,59890255,-
CAT,8,0,82473757,+
rheMac,11,69215,84119962,+
CAT,8,82473757,103861406,+
rheMac,11,88251022,109696566,+
CAT,8,103861406,104642289,+
rheMac,7,40065403,40865037,-
CAT,8,104642289,125702477,+
rheMac,11,110487283,131798785,+
CAT,8,126074855,129266055,+
rheMac,11,132162230,134983538,+
CAT,9,0,42462907,+
rheMac,9,11374,44142900,+
CAT,9,42462907,43661847,+
rheMac,9,47289117,47812315,+
CAT,9,43661847,45912767,+
rheMac,9,44657668,46836735,-
CAT,9,46372687,128708525,+
rheMac,9,47998728,130909562,+
CAT,10,0,12388396,+
rheMac,13,124713321,137160470,-
CAT,10,12711173,14536439,+
rheMac,13,122550674,124371485,-
CAT,10,14536439,14968899,+
rheMac,X,151278209,151701844,+
CAT,10,14968899,18851959,+
rheMac,13,117969720,122130844,-
CAT,10,19913797,23868734,+
rheMac,13,114134361,117969709,-
CAT,10,23868734,125312748,+
rheMac,12,578751,103389450,+
CAT,10,125312748,127910696,+
rheMac,12,103757330,106341905,+
CAT,11,0,12280580,+
