name,chr,start,end,direction
SIM,1,0,2007702,+
panTro,3,199767058,201701593,+
SIM,1,2007702,67463738,+
panTro,3,133658539,199739323,-
SIM,1,67463738,127654471,+
panTro,3,15364863,76662902,+
SIM,1,127654471,142770491,+
panTro,3,74231,15364863,+
SIM,1,142770491,174315949,+
panTro,3,101423304,133360883,-
SIM,1,174315949,178506513,+
panTro,3,96801241,101092071,-
SIM,1,178506513,193160306,+
panTro,3,76968270,91923541,-
SIM,1,193160306,226357200,+
panTro,21,0,32718231,+
SIM,2,0,4135311,+
panTro,4,24159,4202421,+
SIM,2,4135311,8303786,+
panTro,4,4202421,8497099,-
SIM,2,8303786,43527536,+
panTro,4,9272774,44915404,+
SIM,2,43527536,47809135,+
panTro,4,82946027,87286047,-
SIM,2,47809135,64700059,+
panTro,4,61246337,78238252,-
SIM,2,64700059,80299103,+
panTro,4,44915444,60681703,-
SIM,2,80299103,185319467,+
panTro,4,87309701,193482945,+
SIM,3,0,3315436,+
panTro,5,179071137,182576128,-
SIM,3,3315436,80637407,+
panTro,5,100687274,178705270,-
SIM,3,80637407,83885265,+
panTro,5,96834871,100117408,-
SIM,3,83885265,151603018,+
panTro,5,18745410,87086613,+
SIM,3,151603018,160848592,+
panTro,5,87489214,96834858,+
SIM,3,160848592,179334197,+
panTro,5,190891,18745408,-
SIM,4,0,170816188,+
panTro,6,58075,172613881,-
SIM,5,0,56746549,+
panTro,7,104212776,159075041,-
SIM,5,56746549,77551831,+
panTro,7,77548438,98460270,+
SIM,5,77551831,110253458,+
panTro,7,5577329,38152956,+
SIM,5,110253458,114460788,+
panTro,7,38453088,42566548,-
SIM,5,114460788,125817750,+
panTro,7,42654391,53955718,+
SIM,5,125817750,128089717,+
panTro,7,62463451,64952030,+
SIM,5,128089717,128416164,+
panTro,7,65437172,65682670,+
SIM,5,128416164,132835125,+
panTro,7,65826410,70236619,-
SIM,5,132835125,135079122,+
panTro,7,72241318,76137341,+
SIM,5,135079122,139720147,+
panTro,7,98460270,103160831,-
SIM,5,139720147,140151100,+
panTro,7,4956112,5383966,-
SIM,5,140151100,145491646,+
panTro,7,370509,4470674,-
SIM,6,0,99363954,+
panTro,8,43816225,143967758,-
SIM,6,99363954,113735851,+
panTro,8,25666063,40187750,-
SIM,6,113735851,130391077,+
panTro,8,8567852,25666063,+
SIM,6,130391077,137207815,+
panTro,8,3910,6970735,-
SIM,7,0,3300377,+
panTro,11,142553,3353253,+
SIM,7,3300377,70707189,+
panTro,11,3503980,69251751,-
SIM,7,70707189,101290355,+
panTro,11,69632129,100180793,+
SIM,7,101290355,133547537,+
panTro,11,100665086,133111510,+
SIM,8,0,65436697,+
panTro,12,67740140,134236214,-
SIM,8,65436697,111416276,+
panTro,12,21232718,66417721,+
SIM,8,111416276,122432926,+
panTro,12,10063481,21208897,-
SIM,8,122432926,131826255,+
panTro,12,34653,9523091,-
SIM,9,0,1767700,+
panTro,2B,131199496,132845640,+
SIM,9,1767700,18256000,+
panTro,2B,114124572,130864913,-
SIM,9,18256000,128260834,+
panTro,2B,136232815,247508478,+
SIM,10,0,46356989,+
panTro,10,86865728,133514379,-
SIM,10,46356989,46755118,+
panTro,10,48653562,49054091,-
SIM,10,46755118,83329303,+
panTro,10,49054091,86698289,+
SIM,10,83329303,84528243,+
panTro,10,46280522,47712063,+
SIM,10,84528243,88167072,+
panTro,10,41978111,45852938,-
SIM,10,88167072,98736817,+
panTro,10,27320991,38079738,-
SIM,10,98736817,124718182,+
panTro,10,923287,26987829,-
SIM,11,0,372605,+
panTro,1,113212988,113576897,-
SIM,11,372605,10858010,+
panTro,1,116511921,127183673,+
SIM,11,10858010,120398945,+
panTro,1,630150,110427477,-
SIM,12,0,88847048,+
panTro,2A,3393,89167828,+
SIM,12,88847048,107676076,+
panTro,2A,94794601,113425185,-
SIM,13,0,41110826,+
panTro,9,96027673,137830987,-
SIM,13,41110826,79536778,+
panTro,9,57250,38979037,-
SIM,13,79536778,99175704,+
panTro,9,66736254,86625436,+
SIM,14,0,68071690,+
panTro,13,46151163,115113233,-
SIM,14,68071690,82561096,+
panTro,13,24020326,38622636,-
SIM,14,82561096,83096301,+
panTro,13,23480592,24020326,+
SIM,14,83096301,87795249,+
panTro,13,18762852,23480592,-
SIM,15,0,811485,+
panTro,14,18326319,19104098,-
SIM,15,811485,8661185,+
panTro,14,19105295,26876726,+
SIM,15,8661185,86984785,+
panTro,14,27346086,106500298,+
SIM,16,0,64252304,+
panTro,1,141739884,206669995,-
SIM,16,64252304,77352564,+
panTro,1,127995500,141092250,-
SIM,16,77352564,77790716,+
panTro,1,112680392,113110771,-
SIM,16,77790716,78575375,+
panTro,1,111320236,112132216,+
SIM,17,0,74029498,+
panTro,18,1825933,76587297,+
SIM,18,0,15932614,+
panTro,16,73697910,89937432,-
SIM,18,15932614,20250965,+
panTro,16,69362180,73697314,+
SIM,18,20250965,43825204,+
panTro,16,45401164,69362180,-
SIM,18,43825204,44936378,+
panTro,16,30432960,31579700,-
SIM,18,44936378,45584525,+
panTro,16,29681292,30365246,+
SIM,18,45584525,55425256,+
panTro,16,18420253,28677156,-
SIM,18,55425256,56885536,+
panTro,16,16772605,18271862,+
SIM,18,56885536,72989564,+
panTro,16,20529,16340547,-
SIM,19,0,923175,+
panTro,15,28259740,29186543,-
SIM,19,923175,2559573,+
panTro,15,26091557,27454478,-
SIM,19,2559573,5513674,+
panTro,15,96537149,99535222,-
SIM,19,5513674,6000418,+
panTro,15,96041443,96537149,+
SIM,19,6000418,19887936,+
panTro,15,81942100,96041443,-
SIM,19,19887936,21423874,+
panTro,15,80098875,81637878,+
SIM,19,21423874,25681773,+
panTro,15,75538972,79954863,-
SIM,19,25681773,59017078,+
panTro,15,39634163,73527938,-
SIM,19,59017078,66641245,+
panTro,15,31341818,39067502,-
SIM,19,66641245,68766511,+
panTro,15,29186543,31341818,+
SIM,20,0,33116366,+
panTro,20,27975574,61719292,-
SIM,20,33116366,58826168,+
panTro,20,76810,25964484,+
SIM,21,0,36616839,+
panTro,19,138132,41499135,+
SIM,21,36616839,37079521,+
panTro,19,41949791,42413118,-
SIM,21,37079521,58337457,+
panTro,19,42426503,63634993,+
SIM,22,0,2441990,+
panTro,17,61017714,63566139,-
SIM,22,2441990,3031230,+
panTro,17,11101423,11708028,+
SIM,22,3031230,3481559,+
panTro,17,10518677,10968091,-
SIM,22,3481559,10080425,+
panTro,17,11909627,18738378,+
SIM,22,10080425,12029492,+
panTro,17,8099424,10017916,-
SIM,22,12029492,21487293,+
panTro,17,48712757,58308829,+
SIM,22,21487293,22222422,+
panTro,17,58862255,59613263,-
SIM,22,22222422,23813639,+
panTro,17,19312828,20784823,-
SIM,22,23813639,33202544,+
panTro,17,20785465,30170713,+
SIM,22,33202544,34878190,+
panTro,17,37032330,38783040,+
SIM,23,0,29072779,+
panTro,22,20053299,49721273,-
SIM,23,29072779,29384322,+
panTro,22,19365095,19681846,+
SIM,23,29384322,32048073,+
panTro,22,16059496,18799823,-
SIM,24,0,19545192,+
panTro,1,206669995,226542838,-
SIM,24,19545192,21561283,+
panTro,1,226542838,228159347,+
SIM,25,0,15002069,+
panTro,17,66936674,82620436,-
SIM,25,15002069,17279071,+
panTro,17,63566139,65837882,+
SIM,26,0,6717571,+
panTro,17,1246340,8099424,+
SIM,26,6717571,14454235,+
panTro,17,40214424,48110438,-
SIM,26,14454235,14919192,+
panTro,17,39716907,40155252,+
SIM,27,0,6458433,+
panTro,9,86721768,93078295,+
SIM,28,0,6188440,+
panTro,15,20198632,25988178,-
SIM,29,0,2617027,+
panTro,9,93290678,95905754,+
SIM,30,0,387286,+
panTro,9,42278041,42415211,-
SIM,30,387286,763707,+
panTro,9,39407998,39608302,+
SIM,30,763707,1138540,+
panTro,9,41584653,42055697,-
SIM,X,0,14684481,+
panTro,X,142263404,156837823,-
SIM,X,14684481,15146692,+
panTro,X,141818850,142260848,+
SIM,X,15146692,153932146,+
panTro,X,1434272,141818850,-
