name,chr,start,end,direction
EUT,1,0,1228139,+
monDom,6,252034817,253653646,+
EUT,1,1228139,1644867,+
monDom,6,254403805,255335465,+
EUT,1,1644867,1982733,+
monDom,6,255882728,256329977,+
EUT,1,1982733,2339253,+
monDom,6,248183877,248997774,-
EUT,1,2339253,3486435,+
monDom,6,243912100,245238059,-
EUT,1,3486435,3921386,+
monDom,6,243106089,243897651,+
EUT,1,3921386,5138358,+
monDom,6,241890036,243101025,-
EUT,1,5138358,12092374,+
monDom,6,232363255,241073383,-
EUT,1,12092374,19230707,+
monDom,6,219169293,227395399,-
EUT,1,19230707,27128437,+
monDom,6,209201755,218841133,-
EUT,1,27128437,27665671,+
monDom,6,208282622,208859863,-
EUT,1,27665671,31483452,+
monDom,6,279135689,283365906,+
EUT,1,31483452,32162078,+
monDom,6,275378978,276275184,+
EUT,1,32162078,32973848,+
monDom,6,277037719,278412501,+
EUT,1,32973848,35870284,+
monDom,6,201087825,206051131,-
EUT,1,35870284,36044596,+
monDom,6,194134784,194448080,-
EUT,1,36044596,38019199,+
monDom,6,195232720,197878939,+
EUT,1,38019199,39358599,+
monDom,8,270091738,271545087,-
EUT,1,39358599,39681545,+
monDom,6,199736088,200085427,+
EUT,1,39681545,41026058,+
monDom,8,292764264,294234350,+
EUT,1,41026058,41732446,+
monDom,6,200085427,200876396,+
EUT,1,41732446,43706283,+
monDom,8,267597489,269713127,+
EUT,1,43706283,44769411,+
monDom,8,266084383,267458170,-
EUT,1,44769411,45439103,+
monDom,6,288086482,288837504,-
EUT,1,45439103,45741703,+
monDom,6,258364613,258732450,-
EUT,1,45741703,46964273,+
monDom,6,287372641,288071625,+
EUT,1,46964273,50072301,+
monDom,6,289842391,291235916,+
EUT,1,50072301,50771904,+
monDom,8,265657926,266028195,+
EUT,1,50771904,61142792,+
monDom,8,282224896,292642030,-
EUT,1,61142792,65060868,+
monDom,8,276382903,280431280,-
EUT,1,65060868,65425509,+
monDom,8,275672535,276008374,-
EUT,1,65425509,67237495,+
monDom,8,272605741,274564820,-
EUT,1,67237495,67834146,+
monDom,8,271669083,272294175,-
EUT,1,67834146,75685150,+
monDom,4,93927627,105177271,+
EUT,1,75685150,85509047,+
monDom,7,207269831,218620496,-
EUT,1,85509047,87300087,+
monDom,7,246998624,249012243,-
EUT,1,87300087,89368883,+
monDom,7,243271810,245350704,-
EUT,1,89368883,90348414,+
monDom,7,258803270,259775436,-
EUT,1,90348414,91540207,+
monDom,7,242029122,243152411,-
EUT,1,91540207,93858745,+
monDom,7,236991281,239373578,-
EUT,1,93858745,98145284,+
monDom,7,230242565,235332673,-
EUT,1,98145284,98645047,+
monDom,7,194934186,195440938,+
EUT,1,98645047,108792009,+
