name,chr,start,end,direction
SIM,1,0,2007702,+
homSap,3,195375417,197383119,+
SIM,1,2007702,67463738,+
homSap,3,129919381,195375417,-
SIM,1,67463738,127654471,+
homSap,3,15176020,75366753,+
SIM,1,127654471,142770491,+
homSap,3,60000,15176020,+
SIM,1,142770491,193160306,+
homSap,3,75659366,129637797,-
SIM,1,193160306,226357200,+
homSap,21,14919809,48116703,+
SIM,2,0,4135311,+
homSap,4,19026,4154337,+
SIM,2,4135311,8303786,+
homSap,4,4154337,8322812,-
SIM,2,8303786,185319467,+
homSap,4,9587902,191007041,+
SIM,3,0,80637407,+
homSap,5,99723669,180838623,-
SIM,3,80637407,80954624,+
homSap,5,99073531,99390748,+
SIM,3,80954624,179334197,+
homSap,5,67711,98852068,-
SIM,4,0,170816188,+
homSap,6,108073,170924261,-
SIM,5,0,56746549,+
homSap,7,102379717,159126266,-
SIM,5,56746549,77551831,+
homSap,7,76668909,97551384,+
SIM,5,77551831,123697219,+
homSap,7,6955924,53252315,+
SIM,5,123697219,124370503,+
homSap,7,53256634,53929918,-
SIM,5,124370503,128416164,+
homSap,7,53934593,66726898,+
SIM,5,128416164,132835125,+
homSap,7,66760218,71179179,-
SIM,5,132835125,134420482,+
homSap,7,72700683,74286040,-
SIM,5,134420482,135079122,+
homSap,7,75041858,75700498,+
SIM,5,135079122,139720147,+
homSap,7,97551384,102192409,-
SIM,5,139720147,140151100,+
homSap,7,6037321,6468274,+
SIM,5,140151100,145491646,+
homSap,7,505231,5845777,-
SIM,6,0,113735851,+
homSap,8,29170791,146302299,-
SIM,6,113735851,130391077,+
homSap,8,12515565,29170791,+
SIM,6,130391077,137207815,+
homSap,8,13908,6830646,-
SIM,7,0,3300377,+
homSap,11,102548,3402925,+
SIM,7,3300377,70707189,+
homSap,11,3582712,71303597,-
SIM,7,70707189,133547537,+
homSap,11,71619770,134945234,+
SIM,8,0,131826255,+
homSap,12,148390,133818200,-
SIM,9,0,1767700,+
homSap,2,131209940,132977640,+
SIM,9,1767700,18256000,+
homSap,2,114393896,130882196,-
SIM,9,18256000,128260834,+
homSap,2,133080558,243085392,+
SIM,10,0,46356989,+
homSap,10,89132947,135489936,-
SIM,10,46356989,46755118,+
homSap,10,52017187,52415316,-
SIM,10,46755118,83329303,+
homSap,10,52415316,88989501,+
SIM,10,83329303,84528243,+
homSap,10,46922782,48121722,+
SIM,10,84528243,124718182,+
homSap,10,890291,46308329,-
SIM,11,0,372605,+
homSap,1,144916462,145289067,+
SIM,11,372605,120398945,+
homSap,1,670806,120697146,-
SIM,12,0,88847048,+
homSap,2,11391,89151410,+
SIM,12,88847048,107676076,+
homSap,2,95326171,114155199,-
SIM,13,0,41110826,+
homSap,9,100011204,141122030,-
SIM,13,41110826,79536778,+
homSap,9,49963,38475915,-
SIM,13,79536778,99175704,+
homSap,9,70760259,90399185,+
SIM,14,0,82561096,+
homSap,13,25041327,115109878,-
SIM,14,82561096,83096301,+
homSap,13,24506122,25041327,+
SIM,14,83096301,87795249,+
homSap,13,19807174,24506122,-
SIM,15,0,811485,+
homSap,14,19828362,20639847,-
SIM,15,811485,86984785,+
homSap,14,20639847,107288670,+
SIM,16,0,77352564,+
homSap,1,149692626,227676265,-
SIM,16,77352564,77790716,+
homSap,1,145375671,145813823,+
SIM,16,77790716,78575375,+
homSap,1,146604978,147389637,-
SIM,17,0,14534243,+
homSap,18,112546,14646789,-
SIM,17,14534243,74029498,+
homSap,18,18520339,78015594,+
SIM,18,0,15932614,+
homSap,16,74362139,90294753,-
SIM,18,15932614,20250965,+
homSap,16,70043517,74361868,+
