name,chr,start,end,direction
SIM,1,0,2007702,+
ponAbe,3,199670563,201695832,+
SIM,1,2007702,140188094,+
ponAbe,3,57377450,199670563,-
SIM,1,140188094,178506513,+
ponAbe,3,23578,39352326,+
SIM,1,178506513,193160306,+
ponAbe,3,42259764,57377451,-
SIM,1,193160306,226357200,+
ponAbe,21,13379635,48382219,+
SIM,2,0,4135311,+
ponAbe,4,10012,4104088,+
SIM,2,4135311,47809135,+
ponAbe,4,4786372,50609158,+
SIM,2,47809135,64700059,+
ponAbe,4,50778207,68424566,-
SIM,2,64700059,185319467,+
ponAbe,4,72540482,198322211,+
SIM,3,0,80637407,+
ponAbe,5,100708648,183911567,-
SIM,3,80637407,151603018,+
ponAbe,5,29143769,100375545,-
SIM,3,151603018,179334197,+
ponAbe,5,10000,28718395,-
SIM,4,0,170816188,+
ponAbe,6,27545,174198330,-
SIM,5,0,123697219,+
ponAbe,7,30503099,157536646,-
SIM,5,123697219,124370503,+
ponAbe,7,29703714,30473097,+
SIM,5,124370503,125817750,+
ponAbe,7,28148538,29661145,-
SIM,5,125817750,128089717,+
ponAbe,7,21430791,23302578,-
SIM,5,128089717,128416164,+
ponAbe,7,15071463,15426716,+
SIM,5,128416164,132835125,+
ponAbe,7,16300518,20991524,+
SIM,5,132835125,134420482,+
ponAbe,7,13256576,14780454,+
SIM,5,134420482,135079122,+
ponAbe,7,12155199,12837791,-
SIM,5,135079122,139720147,+
ponAbe,7,6852801,11655459,-
SIM,5,139720147,140151100,+
ponAbe,7,5991866,6421715,+
SIM,5,140151100,145491646,+
ponAbe,7,292659,5847832,-
SIM,6,0,99363954,+
ponAbe,8,47564211,153469492,-
SIM,6,99363954,113735851,+
ponAbe,8,29209226,44283608,-
SIM,6,113735851,130391077,+
ponAbe,8,11836193,29197089,+
SIM,6,130391077,137207815,+
ponAbe,8,10000,7223121,-
SIM,7,0,101290355,+
ponAbe,11,21217,98694152,+
SIM,7,101290355,133547537,+
ponAbe,11,99133007,132089415,+
SIM,8,0,111416276,+
ponAbe,12,22981455,136377465,-
SIM,8,111416276,122432926,+
ponAbe,12,10142143,21717901,-
SIM,8,122432926,131826255,+
ponAbe,12,22305,9694783,-
SIM,9,0,1767700,+
ponAbe,2b,3181198,3929596,-
SIM,9,1767700,128260834,+
ponAbe,2b,3929630,134834827,+
SIM,10,0,44951341,+
ponAbe,10,87453098,133399686,-
SIM,10,44951341,46755118,+
ponAbe,10,85605510,87452935,+
SIM,10,46755118,83329303,+
ponAbe,10,47754067,85573672,-
SIM,10,83329303,84528243,+
ponAbe,10,44617029,45054000,+
SIM,10,84528243,88167072,+
ponAbe,10,41102189,44578450,-
SIM,10,88167072,98736817,+
ponAbe,10,28005001,38060197,-
SIM,10,98736817,124718182,+
ponAbe,10,849300,27467918,-
SIM,11,0,372605,+
ponAbe,1,107619643,108157828,+
SIM,11,372605,120398945,+
ponAbe,1,107823462,229806897,+
SIM,12,0,83619380,+
ponAbe,2a,26761794,113018650,-
SIM,12,83619380,88847048,+
ponAbe,2a,22302847,26446262,-
SIM,12,88847048,107676076,+
ponAbe,2a,3029455,21417897,-
SIM,13,0,41110826,+
ponAbe,9,93008994,135181526,-
SIM,13,41110826,99175704,+
ponAbe,9,23053116,83019533,+
SIM,14,0,68071690,+
ponAbe,13,46462242,117079030,-
SIM,14,68071690,82561096,+
ponAbe,13,23729793,38816984,-
SIM,14,82561096,83096301,+
