name,chr,start,end,direction
HUC,1,0,194692794,+
panTro,3,74231,202319803,+
HUC,2,0,105044029,+
panTro,4,87286057,193482945,
HUC,2,105044029,120636250,+
panTro,4,44915444,60681703,+
HUC,2,120636250,121316116,+
panTro,4,60681703,61147875,
HUC,2,121316116,142992609,+
panTro,4,61147875,87286047,+
HUC,2,142992609,178465198,+
panTro,4,9057850,44915404,
HUC,3,0,18485602,+
panTro,5,190891,18745408,+
HUC,3,18485602,64895644,+
panTro,5,45634558,96834858,
HUC,3,64895644,65418225,+
panTro,5,44966727,45462539,
HUC,3,65418225,65855931,+
panTro,5,45251090,45694337,+
HUC,3,65855931,91123386,+
panTro,5,18745410,44258890,
HUC,3,91123386,175845231,+
panTro,5,96834871,182576128,+
HUC,4,0,106212191,+
panTro,6,63833027,172613881,
HUC,4,108234072,108828890,+
panTro,6,59032905,59631636,
HUC,4,109463095,166808476,+
panTro,6,58075,58344766,
HUC,5,0,151075553,+
panTro,X,43988,156837823,+
HUC,6,0,83775887,+
panTro,7,73692802,159075041,
HUC,6,83775887,84097897,+
panTro,7,72053884,72384252,
HUC,6,84097897,85666940,+
panTro,7,72241318,73813283,+
HUC,6,86494086,94451169,+
panTro,7,62029866,70236619,
HUC,6,94451169,108431060,+
panTro,7,42654391,57477138,
HUC,6,108431060,112556661,+
panTro,7,38453088,42566548,+
HUC,6,112556661,145440558,+
panTro,7,5388659,38152956,
HUC,7,0,130391077,+
panTro,8,8567852,143967758,+
HUC,8,0,65422310,+
panTro,12,67740140,134236214,
HUC,8,65422310,108800136,+
panTro,12,21232718,67645144,+
HUC,8,108800136,129701068,+
panTro,12,34653,21208897,
HUC,9,0,128671969,+
panTro,2B,114114555,247508478,+
HUC,10,0,309257,+
panTro,1,113574309,113832284,
HUC,10,309257,1093916,+
panTro,1,111320236,112132216,+
HUC,10,1093916,1483274,+
panTro,1,112279401,112655406,
HUC,10,1483274,2380635,+
panTro,1,112680392,113576897,+
HUC,10,2380635,12865015,+
panTro,1,116511921,127183673,+
HUC,10,12865015,122961354,+
panTro,1,77636,110427477,
HUC,11,0,2936218,+
panTro,2A,110720334,113610138,
HUC,11,3294623,103074630,+
panTro,2A,5131442,110682462,
HUC,11,103074630,104510600,+
panTro,2A,3046932,4508450,
HUC,11,104510600,104978132,+
panTro,2A,4612263,5078794,
HUC,11,104978132,108016187,+
panTro,2A,3393,2990765,
HUC,12,0,99497568,+
panTro,1,127517235,228159347,
HUC,12,99497568,100030633,+
panTro,1,110510723,110709830,+
HUC,13,0,20362760,+
panTro,13,18105929,38622636,+
HUC,13,27725595,95014112,+
panTro,13,46151163,114473112,+
HUC,14,342043,87901118,+
panTro,14,18179422,106500298,+
HUC,15,0,83322635,+
panTro,10,48546359,133514379,
HUC,16,0,70765748,+
panTro,15,28259740,99535222,
HUC,16,71374413,73119258,+
panTro,15,26091557,27546660,+
HUC,16,73119258,80323522,+
panTro,15,18265625,26216966,
HUC,17,0,75707219,+
panTro,11,57249503,133111510,
HUC,17,77189264,77669409,+
panTro,11,55240547,55721586,
HUC,18,0,33494361,+
panTro,16,20529,34136398,+
HUC,18,33494361,33897694,+
panTro,16,44291906,44770687,
HUC,18,33897694,77685181,+
panTro,16,45401164,89937432,+
HUC,19,0,7930994,+
panTro,17,80537,8099424,+
HUC,19,7930994,16161359,+
panTro,17,39716907,48110438,
HUC,19,16606594,43251969,+
panTro,17,8099424,39243718,
HUC,19,43251969,76693745,+
panTro,17,48110439,82620436,+
HUC,20,0,74749605,+
panTro,18,1446978,76587297,+
HUC,21,0,71022923,+
panTro,9,66502284,137830987,+
HUC,22,0,58865563,+
panTro,20,76810,61719292,
HUC,23,0,21346310,+
panTro,19,42426503,63634993,
HUC,23,21346310,21822344,+
panTro,19,41949791,42426503,+
HUC,23,21822344,54613225,+
panTro,19,138132,41499135,
HUC,24,0,49317726,+
panTro,11,142553,49516066,
HUC,25,2596841,2959854,+
panTro,10,48491370,48541648,
HUC,25,3366203,47720653,+
panTro,10,76910,47712063,
HUC,26,0,1809166,+
panTro,9,65266983,66501922,
HUC,26,3902591,5494150,+
panTro,9,39407998,44066160,
HUC,26,5937853,45071741,+
panTro,9,57250,39407998,
HUC,27,0,5582457,+
panTro,22,14430000,20807758,+
HUC,27,5890558,34126795,+
panTro,22,21139102,49721273,+
HUC,28,0,33174843,+
panTro,21,0,32718231,
HUC,29,3704955,11732374,+
panTro,8,3910,8294512,
HUC,30,311279,8614572,+
panTro,4,24159,8497099,
HUC,31,0,430953,+
panTro,7,4956112,5383966,+
HUC,31,430953,4737570,+
panTro,7,370509,4646837,
HUC,32,0,766229,+
panTro,11,49516071,50340366,
HUC,33,0,385653,+
panTro,9,44406289,44794974,+
HUC,33,385653,749215,+
panTro,9,66233365,66641014,
HUC,34,0,382361,+
panTro,7,57616279,58043871,
