name,chr,start,end,direction
BOR,1,0,1228139,+
susScr,13,79306690,80169265,-
BOR,1,1228139,2761829,+
susScr,13,77340712,78847375,-
BOR,1,2761829,13070428,+
susScr,13,64086266,75202016,-
BOR,1,13070428,28574464,+
susScr,13,43282883,60330298,-
BOR,1,28574464,33140132,+
susScr,13,38055764,42861727,-
BOR,1,33140132,46977877,+
susScr,13,25274279,37548768,-
BOR,1,46977877,52145078,+
susScr,13,20842640,24760684,-
BOR,1,52145078,52567897,+
susScr,13,20392021,20685893,+
BOR,1,52567897,62510557,+
susScr,13,9838269,20195859,-
BOR,1,62510557,67084655,+
susScr,13,3047928,8135998,-
BOR,1,67084655,68852354,+
susScr,13,1218,1916305,-
BOR,1,68852354,69415859,+
susScr,13,80972478,81469937,+
BOR,1,69415859,87711709,+
susScr,13,81870857,99672012,+
BOR,1,87711709,90739917,+
susScr,13,101222587,103930780,+
BOR,1,90739917,92808713,+
susScr,13,104498667,106698474,+
BOR,1,92808713,94996614,+
susScr,13,107179327,109343056,+
BOR,1,94996614,98185047,+
susScr,13,111559481,114332052,+
BOR,1,98185047,113519363,+
susScr,13,114852414,130141959,+
BOR,1,113519363,117049072,+
susScr,13,130674466,133906535,+
BOR,1,117049072,121584851,+
susScr,13,134534940,138146117,+
BOR,1,121584851,127018020,+
susScr,13,138531706,143875343,+
BOR,1,127018020,130202873,+
susScr,13,144320260,147500727,+
BOR,1,130202873,134354029,+
susScr,13,147873096,151159906,+
BOR,1,134354029,140020128,+
susScr,13,151564972,157211560,+
BOR,1,140020128,140327302,+
susScr,13,158850832,158955557,+
BOR,1,140327302,141997290,+
susScr,13,157627243,158762815,-
BOR,1,141997290,146449561,+
susScr,13,159209107,163371390,+
BOR,1,146449561,152548819,+
susScr,13,164093848,170542541,+
BOR,1,152548819,181897608,+
susScr,13,172661463,197986657,+
BOR,1,181897608,195963258,+
susScr,13,198647440,213209651,+
BOR,1,195963258,200717139,+
susScr,13,213641854,217535679,+
BOR,1,200717139,202071100,+
susScr,13,218011410,218494014,+
BOR,2,0,1696529,+
susScr,14,64765379,65555253,-
BOR,2,1696529,2401800,+
susScr,14,63785534,64289220,-
BOR,2,2401800,10622360,+
susScr,14,55402371,63472918,-
BOR,2,10622360,11475188,+
susScr,10,14116892,14814658,+
BOR,2,11475188,12173544,+
susScr,10,17713202,17931995,+
BOR,2,12173544,12728441,+
susScr,10,17933900,18437037,-
BOR,2,12728441,15869176,+
susScr,10,19184669,21846436,+
BOR,2,15869176,17059393,+
susScr,10,16546351,17346104,-
BOR,2,17059393,17442609,+
susScr,10,15626325,15959645,+
BOR,2,17442609,17885522,+
susScr,10,16215344,16339423,-
BOR,2,17885522,18574366,+
susScr,10,15124081,15555413,-
BOR,2,18574366,19114210,+
susScr,10,24460909,24608844,-
BOR,2,19114210,19469335,+
susScr,10,21885232,22096966,-
BOR,2,19469335,19773517,+
susScr,10,13836676,13897369,-
BOR,2,19773517,20556144,+
susScr,10,13071223,13463984,-
BOR,2,20556144,24532864,+
susScr,10,7587510,11310840,-
BOR,2,24532864,25948772,+
susScr,9,140732056,142520342,+
BOR,2,25948772,28619409,+
susScr,9,142836694,145122187,+
BOR,2,28619409,30834270,+
susScr,9,145804570,148527637,+
BOR,2,30834270,34888107,+
susScr,9,70284653,74110185,-
BOR,2,34888107,35264940,+
susScr,10,29093133,29289916,-
BOR,2,35264940,38490494,+
susScr,10,24612102,27360389,-
BOR,2,38490494,39866076,+
susScr,10,23440516,24293887,-
BOR,2,39866076,45232488,+
susScr,10,695259,5232080,+
BOR,2,45232488,45906551,+
susScr,10,5795553,6007058,-
BOR,2,45906551,46427460,+
susScr,10,5585242,5745414,+
BOR,2,46427460,47837210,+
susScr,10,6179808,7431035,+
BOR,2,47837210,55536706,+
susScr,9,132841003,140625812,-
BOR,2,55536706,61080355,+
susScr,9,127390102,132499594,-
BOR,2,61080355,62582289,+
susScr,9,125539071,126961500,-
BOR,2,62582289,62973688,+
susScr,9,69973764,70226758,-
BOR,2,62973688,69827652,+
susScr,4,88292368,94768548,+
BOR,2,69827652,71673497,+
susScr,4,95372974,97235181,+
BOR,2,71673497,73577348,+
susScr,4,97676410,99387483,+
BOR,2,73577348,78344987,+
susScr,4,100379715,105043005,+
BOR,2,78344987,79387359,+
susScr,4,105486473,106143756,+
BOR,2,79387359,81298736,+
susScr,4,106849918,108539572,+
BOR,2,81298736,81736888,+
susScr,4,108941659,109217727,+
BOR,2,81736888,82521547,+
susScr,4,109525201,110226236,+
BOR,2,82521547,82894152,+
susScr,4,110726920,110872259,-
BOR,2,82894152,91304932,+
susScr,4,110922274,119070074,+
BOR,2,91304932,93877876,+
susScr,4,119615822,122013116,+
BOR,2,93877876,116021156,+
susScr,4,122523896,143383412,+
BOR,2,116021156,118436608,+
susScr,6,119203787,121256052,+
BOR,2,118436608,123837215,+
susScr,6,122363274,127012378,+
BOR,2,123837215,132084572,+
susScr,6,127467933,134304192,+
BOR,2,132084572,138565442,+
susScr,6,134941811,139576589,+
BOR,2,138565442,155060160,+
susScr,6,140404317,155518071,+
BOR,2,155060160,156531901,+
susScr,6,155883719,156584131,+
BOR,2,156531901,157839892,+
susScr,6,156962351,157733742,+
BOR,2,157839892,181983763,+
susScr,6,69506589,89025930,-
BOR,2,181983763,184429958,+
susScr,6,67056920,69112732,-
BOR,2,184429958,186663473,+
susScr,6,64607853,66748092,-
BOR,2,186663473,194415497,+
susScr,6,59093520,64278539,-
BOR,2,194415497,195644918,+
susScr,6,57886688,58261458,-
BOR,3,0,2504279,+
susScr,8,342493,2120055,+
BOR,3,2504279,4828613,+
susScr,8,2226829,4198149,-
BOR,3,4828613,5194372,+
susScr,8,4815899,4977139,+
BOR,3,5194372,34463365,+
susScr,8,5912965,33197042,+
BOR,3,34463365,35072998,+
susScr,8,33197327,33767565,-
BOR,3,35072998,38112315,+
susScr,8,34024936,36720936,+
BOR,3,38112315,45620966,+
susScr,8,37257263,44011897,+
BOR,3,45620966,46813510,+
susScr,8,57474846,58535492,-
BOR,3,46813510,58207590,+
susScr,8,58959980,70332430,+
BOR,3,58207590,65845877,+
susScr,8,71174063,78234178,+
BOR,3,65845877,70160262,+
susScr,8,144695525,148102947,-
BOR,3,70160262,73700171,+
susScr,8,140491730,144022682,-
BOR,3,73700171,74110138,+
susScr,8,139668058,139947071,-
BOR,3,74110138,81017168,+
susScr,8,132518494,138803134,-
BOR,3,81017168,86265490,+
susScr,8,127969697,131856654,-
BOR,3,86265490,91388749,+
susScr,8,121065380,126272697,-
BOR,3,91388749,96820285,+
susScr,8,115767879,120114167,-
BOR,3,96820285,102719878,+
susScr,8,108393731,114618374,-
BOR,3,102719878,108973734,+
susScr,8,101987152,107810371,-
BOR,3,108973734,114692594,+
susScr,8,96770424,101614426,-
BOR,3,114692594,134013021,+
susScr,8,78422538,96426477,-
BOR,3,134013021,140624164,+
susScr,8,46383489,54178120,+
BOR,3,140624164,142627990,+
susScr,8,54493794,56808271,+
BOR,3,142627990,143721406,+
susScr,8,44814013,45949025,-
BOR,3,143721406,150138854,+
susScr,14,16580380,22285625,-
BOR,3,150138854,160769634,+
susScr,15,43911731,53943167,+
BOR,3,160769634,169745796,+
susScr,17,711835,9476676,-
BOR,3,169745796,177020934,+
susScr,15,56546118,62926024,-
BOR,3,177020934,178602228,+
susScr,15,54592277,55941286,-
BOR,3,178602228,180520480,+
susScr,17,11099370,12537824,+
BOR,3,180520480,180921398,+
susScr,17,12658414,13050479,-
BOR,3,180921398,181641169,+
susScr,17,9709313,10437171,+
BOR,3,181641169,182658498,+
susScr,17,13560299,14268039,+
BOR,4,0,689084,+
susScr,2,159535279,159759135,+
BOR,4,689084,1217438,+
susScr,2,79413976,79958286,+
BOR,4,1217438,2934703,+
susScr,2,80284928,81857690,+
BOR,4,2934703,3335923,+
susScr,2,82116709,82296087,-
BOR,4,3335923,4759808,+
susScr,2,82357728,83701683,+
BOR,4,4759808,22239358,+
susScr,16,53386480,71944784,+
BOR,4,22239358,24273454,+
susScr,16,76030193,78155258,+
BOR,4,24273454,26804730,+
susScr,2,156348138,158450301,-
BOR,4,26804730,36832853,+
susScr,2,145753654,155898025,-
BOR,4,36832853,43199245,+
susScr,2,138738269,145375282,-
BOR,4,43199245,54406956,+
susScr,2,128196182,138132347,-
BOR,4,54406956,59533724,+
susScr,2,122613277,127835683,-
BOR,4,59533724,59962842,+
susScr,2,121466029,121771579,+
BOR,4,59962842,60573255,+
susScr,2,122127813,122494672,+
BOR,4,60573255,66498876,+
susScr,2,114898481,120102393,-
BOR,4,66498876,70402856,+
susScr,2,110397956,114156392,-
BOR,4,70402856,83940433,+
susScr,2,95863168,109857199,-
BOR,4,83940433,88886633,+
susScr,2,90894470,95534755,-
BOR,4,88886633,95518487,+
susScr,2,84019682,90573737,-
BOR,4,95518487,96779365,+
susScr,16,51747896,53034767,-
BOR,4,96779365,101209879,+
susScr,16,46592359,51271794,-
BOR,4,101209879,104628885,+
susScr,16,42698043,46099512,-
BOR,4,104628885,120384222,+
susScr,16,29779212,41952876,-
BOR,4,120384222,125608257,+
susScr,16,24187049,29116540,-
BOR,4,125608257,133482472,+
susScr,16,16404362,23577069,-
BOR,4,133482472,140686468,+
susScr,16,10718237,16079434,-
BOR,4,140686468,151020882,+
susScr,16,235824,10400842,-
BOR,4,151020882,151425705,+
susScr,16,86543786,86872493,+
BOR,4,151425705,153471726,+
susScr,16,78399598,79780196,+
BOR,4,153471726,157778808,+
susScr,16,80247874,84021042,+
