name,chr,start,end,direction
BOR,1,0,1228139,+
equCab,16,168045,1392251,+
BOR,1,1228139,2405309,+
equCab,16,1896312,2813412,+
BOR,1,2405309,2761829,+
equCab,16,3147632,3459007,+
BOR,1,2761829,13070428,+
equCab,16,5304809,14215310,+
BOR,1,13070428,33140132,+
equCab,16,17247720,35018135,+
BOR,1,33140132,62510557,+
equCab,16,35457256,60753451,+
BOR,1,62510557,67084655,+
equCab,16,61994409,65868189,+
BOR,1,67084655,87711709,+
equCab,16,66368754,83854336,+
BOR,1,87711709,90739917,+
equCab,16,85154407,87364885,+
BOR,1,90739917,92808713,+
equCab,19,448173,2260524,+
BOR,1,92808713,94313003,+
equCab,5,14484748,15838018,+
BOR,1,94313003,94996614,+
equCab,19,2488649,3156987,+
BOR,1,94996614,98185047,+
equCab,19,5043361,7678232,+
BOR,1,98185047,121584851,+
equCab,19,8142745,28825305,+
BOR,1,121584851,127018020,+
equCab,19,29150452,33711106,+
BOR,1,127018020,140020128,+
equCab,19,34072609,45362925,+
BOR,1,140020128,146449561,+
equCab,19,45759329,51137818,+
BOR,1,146449561,152548819,+
equCab,19,51645176,56344621,+
BOR,1,152548819,156739383,+
equCab,19,56861623,59974752,+
BOR,1,156739383,181897608,+
equCab,26,720436,22095955,+
BOR,1,181897608,199066097,+
equCab,26,23032219,38292833,+
BOR,1,199066097,202071100,+
equCab,26,38661752,41855451,+
BOR,2,0,1696529,+
equCab,1,67551999,69048697,-
BOR,2,1696529,10622360,+
equCab,1,71898008,80066850,-
BOR,2,10622360,11475188,+
equCab,30,3230120,3920820,-
BOR,2,11475188,12173544,+
equCab,30,2251047,2789544,-
BOR,2,12173544,13920421,+
equCab,30,18,1648785,-
BOR,2,13920421,19773517,+
equCab,30,4603953,10097055,+
BOR,2,19773517,20556144,+
equCab,30,11778190,12393716,-
BOR,2,20556144,24532864,+
equCab,30,13015773,16581729,+
BOR,2,24532864,28619409,+
equCab,5,23647068,27390005,+
BOR,2,28619409,30834270,+
equCab,5,28067345,30255586,+
BOR,2,30834270,34888107,+
equCab,5,27972,3370528,-
BOR,2,34888107,35264940,+
equCab,30,29429308,29727787,-
BOR,2,35264940,38490494,+
equCab,30,24851061,27519598,-
BOR,2,38490494,47837210,+
equCab,30,16714747,24414699,-
BOR,2,47837210,55536706,+
equCab,5,16924548,23542354,-
BOR,2,55536706,62973688,+
equCab,5,7224286,13830679,-
BOR,2,62973688,66498775,+
equCab,5,3467123,6699875,-
BOR,2,66498775,69827652,+
equCab,5,30939013,33851091,+
BOR,2,69827652,70594397,+
equCab,5,34359766,35240403,+
BOR,2,70594397,71673497,+
equCab,5,35684640,36621372,-
BOR,2,71673497,73577348,+
equCab,5,36724131,38437784,+
BOR,2,73577348,78344987,+
equCab,5,39217152,44065448,+
BOR,2,78344987,79387359,+
equCab,5,44500407,45285467,+
BOR,2,79387359,81298736,+
equCab,5,45658033,47120556,+
BOR,2,81298736,82521547,+
equCab,5,47899562,48926790,+
BOR,2,82521547,82894152,+
equCab,5,49342662,49806321,+
BOR,2,82894152,91304932,+
equCab,5,49506150,56891610,+
BOR,2,91304932,93877876,+
equCab,5,57293532,59457326,+
BOR,2,93877876,112120533,+
equCab,5,59879539,74923160,+
BOR,2,112120533,118436608,+
equCab,5,75264067,80866950,+
BOR,2,118436608,123837215,+
equCab,5,81874102,86376914,+
BOR,2,123837215,128849693,+
equCab,5,86682733,90928503,+
BOR,2,128849693,132084572,+
equCab,5,91250294,93815745,+
BOR,2,132084572,138565442,+
equCab,5,94430083,99679972,+
BOR,2,138565442,155060160,+
equCab,2,330893,15099540,+
BOR,2,155060160,181983763,+
equCab,2,15411373,36988556,+
BOR,2,181983763,194415497,+
equCab,2,37304783,47290581,+
BOR,2,194415497,195644918,+
equCab,2,47865859,48704409,+
BOR,3,0,2504279,+
equCab,3,116429536,118496207,-
BOR,3,2504279,4066710,+
equCab,3,114529298,115873317,-
BOR,3,4066710,5194372,+
equCab,3,113278714,114205050,-
BOR,3,5194372,10238424,+
equCab,3,107721936,112045314,-
BOR,3,10238424,38112315,+
equCab,3,83725963,107360777,-
BOR,3,38112315,45620966,+
equCab,3,77308452,83262304,-
BOR,3,45620966,58207590,+
equCab,3,66647493,76981547,-
BOR,3,58207590,70160262,+
equCab,3,54161795,64578261,-
BOR,3,70160262,73700171,+
equCab,3,50130378,53421653,-
BOR,3,73700171,74110138,+
equCab,3,49078195,49438990,-
BOR,3,74110138,81017168,+
equCab,3,42297749,48394735,-
BOR,3,81017168,86265490,+
equCab,3,37539269,41823524,-
BOR,3,86265490,91388749,+
equCab,2,116445914,120424488,-
BOR,3,91388749,96820285,+
equCab,2,111117624,115605636,-
BOR,3,96820285,102719878,+
equCab,2,105223516,110275011,-
BOR,3,102719878,139150801,+
equCab,2,73991851,104703307,-
BOR,3,139150801,143721406,+
equCab,2,68665957,73393886,-
BOR,3,143721406,150138854,+
equCab,2,60707623,66476529,-
BOR,3,150138854,152318027,+
equCab,27,31178303,32917249,-
BOR,3,152318027,152740271,+
equCab,27,30798795,31133094,+
BOR,3,152740271,169745796,+
equCab,27,16263123,30663960,-
BOR,3,169745796,177020934,+
equCab,27,8695066,14915746,-
BOR,3,177020934,178602228,+
equCab,27,6688916,8051251,-
BOR,3,178602228,180921398,+
equCab,27,2819489,5018658,-
BOR,3,180921398,182658498,+
equCab,27,770471,2437811,-
BOR,4,0,689084,+
equCab,14,1238516,1646051,+
BOR,4,689084,14995050,+
