name,chr,start,end,direction
CAT,1,0,2007702,+
GAP,1,191134102,193141804,+
CAT,1,2007702,192635202,+
GAP,1,0,191134102,-
CAT,2,489065,181279354,+
GAP,2,4135311,186104451,+
CAT,3,0,173704983,+
GAP,3,0,173908854,+
CAT,4,0,165720517,+
GAP,4,0,165927944,+
CAT,5,0,141011944,+
GAP,5,0,141011944,+
CAT,6,184,134885556,+
GAP,6,0,136439349,+
CAT,7,0,129266055,+
GAP,7,0,129617826,+
CAT,8,0,82082076,+
GAP,16,0,82082076,-
CAT,8,82082076,128708525,+
GAP,22,0,46626449,+
CAT,9,0,127910696,+
GAP,8,0,128342186,+
CAT,10,0,126644304,+
GAP,9,0,127278998,+
CAT,11,0,119883653,+
GAP,10,555406,120648362,+
CAT,12,0,41043926,+
GAP,11,0,41043926,+
CAT,12,41043926,108628072,+
GAP,11,41043926,108613986,-
CAT,12,108628072,110535338,+
GAP,11,108613986,111472811,+
CAT,13,0,104402354,+
GAP,12,407172,105870741,+
CAT,14,0,100478547,+
GAP,13,0,100476601,+
CAT,15,0,95376028,+
GAP,14,0,95113470,+
CAT,16,0,811485,+
GAP,15,0,811485,-
CAT,16,811485,87133029,+
GAP,15,811485,87133029,+
CAT,17,0,77474278,+
GAP,17,479467,78654551,+
CAT,18,0,73982347,+
GAP,19,0,73982347,+
CAT,19,0,58680474,+
GAP,20,0,58680474,+
CAT,20,0,54391357,+
GAP,21,0,54506772,+
CAT,21,0,1629868,+
GAP,23,30323637,31953505,-
CAT,21,1629868,3560713,+
GAP,24,20701771,22789687,-
CAT,21,3560713,15678016,+
GAP,24,22940638,35057941,+
CAT,21,15678016,22391872,+
GAP,23,32301045,39042414,+
CAT,21,22391872,23431441,+
GAP,24,35471127,36510696,+
CAT,21,23431441,23844627,+
GAP,24,35057941,35471127,-
CAT,21,23844627,44546398,+
GAP,24,0,20701771,-
CAT,22,0,44171507,+
GAP,18,31078056,75250191,+
CAT,23,0,33113184,+
GAP,26,0,33113184,+
CAT,24,0,2847262,+
GAP,25,1201468,4171626,+
CAT,24,2847262,3165135,+
GAP,25,4171626,4489499,-
CAT,24,3165135,31981883,+
GAP,25,4604923,33842773,+
CAT,25,0,15729454,+
GAP,18,0,15729454,+
CAT,25,15729454,17494742,+
GAP,18,15797733,17563021,-
CAT,25,17494742,29159875,+
GAP,18,17601783,29266916,+
CAT,26,0,15667658,+
GAP,23,0,15667658,+
CAT,26,15667658,16537877,+
GAP,23,15696402,16566621,-
CAT,27,0,13291828,+
GAP,27,0,14511535,+
CAT,28,0,12638383,+
GAP,23,16606669,30323637,+
CAT,29,0,4135311,+
GAP,2,0,4135311,+
CAT,30,0,766229,+
GAP,28,668663,1434892,+
CAT,31,0,579104,+
GAP,1,193141804,193720908,+
CAT,32,0,349958,+
GAP,12,57214,407172,+
CAT,X,0,134580488,+
GAP,X,1111939,135983377,+
CAT,X,134580488,135042699,+
GAP,X,135983377,136445588,-
CAT,X,135042699,149727180,+
GAP,X,136445588,151130069,+
