name,chr,start,end,direction
SIM,1,0,579104,+
CAT,31,0,579104,
SIM,1,579104,193141800,+
CAT,1,0,192635202,+
SIM,1,193141800,226254984,+
CAT,23,0,33113184,+
SIM,2,0,4135311,+
CAT,29,0,4135311,+
SIM,2,4135311,185414665,+
CAT,2,0,181279354,+
SIM,3,0,173553676,+
CAT,3,0,173704983,+
SIM,4,0,165720517,+
CAT,4,0,165720517,+
SIM,5,0,5340546,+
CAT,27,0,5340546,+
SIM,5,5340546,5771499,+
CAT,27,5340546,5771499,
SIM,5,5771499,12652871,+
CAT,27,6088446,12969818,+
SIM,5,12652871,145909750,+
CAT,6,0,134885556,
SIM,6,0,9298707,+
CAT,5,0,9298707,+
SIM,6,9298707,27498412,+
CAT,5,9298707,27498412,
SIM,6,27498412,141011944,+
CAT,5,27498412,141011944,+
SIM,7,0,1529781,+
CAT,17,58609977,60145915,+
SIM,7,1529781,49169812,+
CAT,17,10709805,58361725,
SIM,7,49169812,51295078,+
CAT,17,8584539,10709805,+
SIM,7,51295078,137916853,+
CAT,16,0,87133029,+
SIM,8,0,130031823,+
CAT,10,0,126644304,+
SIM,9,0,42127272,+
CAT,8,0,42462907,+
SIM,9,42127272,45577132,+
CAT,8,42462907,45912767,
SIM,9,45577132,127911548,+
CAT,8,46372687,128708525,+
SIM,10,0,2095444,+
CAT,9,0,2095444,
SIM,10,2095444,127910696,+
CAT,9,2095444,127910696,+
SIM,11,0,127258378,+
CAT,7,0,129266055,+
SIM,12,0,119883653,+
CAT,11,0,119883653,+
SIM,13,0,104109383,+
CAT,13,0,104402354,+
SIM,14,0,99014103,+
CAT,12,0,99016053,+
SIM,15,0,4698948,+
CAT,15,639201,5338149,+
SIM,15,4698948,5234153,+
CAT,15,5338149,5873354,
SIM,15,5234153,94591404,+
CAT,15,5873354,95376028,+
SIM,16,0,784659,+
CAT,14,438152,1222811,+
SIM,16,784659,1222811,+
CAT,14,0,438152,
SIM,16,1222811,78866267,+
CAT,14,1222811,78917264,+
SIM,17,0,73982347,+
CAT,18,0,73982347,+
SIM,18,0,58680474,+
CAT,19,0,58680474,+
SIM,19,0,31779996,+
CAT,20,0,32287235,+
SIM,19,31779996,32242678,+
CAT,20,32300587,32763269,
SIM,19,32242678,53338390,+
CAT,20,33103898,54399987,+
SIM,20,0,43894648,+
CAT,22,0,44171507,+
SIM,21,0,10609240,+
CAT,28,446394,12638383,+
SIM,21,10609240,36710539,+
CAT,21,38651,26286617,+
SIM,22,0,28530395,+
CAT,25,0,29159875,+
SIM,23,0,25767439,+
CAT,24,6203532,31981883,+
SIM,24,0,2016091,+
CAT,14,98462456,100478547,
SIM,24,2016091,21561283,+
CAT,14,78917264,98462456,+
SIM,25,0,13887518,+
CAT,17,60145915,74033433,+
SIM,25,13887518,14374262,+
CAT,17,74033433,74520177,
SIM,25,14374262,17328363,+
CAT,17,74520177,77474278,+
SIM,25,17328363,18964761,+
CAT,17,5410413,7046811,
SIM,25,18964761,20502489,+
CAT,17,7046811,8584539,+
SIM,26,0,3190876,+
CAT,21,26388327,29661241,
SIM,26,3190876,18192945,+
CAT,21,29661241,44663310,+
SIM,27,0,15916394,+
CAT,26,0,16537877,+
SIM,28,0,2125756,+
CAT,12,103528732,105654488,+
SIM,28,2125756,6458433,+
CAT,12,99146657,103479334,+
SIM,29,0,4563329,+
CAT,24,0,4936808,+
SIM,29,4563329,5003707,+
CAT,24,5640343,6080721,+
SIM,29,5003707,5367758,+
CAT,24,5227607,5591658,
SIM,30,0,5233935,+
CAT,17,0,5233935,+
SIM,31,0,2617027,+
CAT,12,105886248,108503275,+
SIM,32,0,1079133,+
CAT,12,109510182,110852352,+
SIM,X,0,149727180,+
CAT,X,0,149727180,+
