name,chr,start,end,direction
HUC,1,0,194692794,+
homSap,3,64229,197962223,+
HUC,2,0,178465198,+
homSap,4,9339040,191007041,-
HUC,3,0,94080139,+
homSap,5,67711,98878188,+
HUC,3,94080139,94397356,+
homSap,5,99073531,99390748,-
HUC,3,94397356,175845231,+
homSap,5,99390748,180838623,+
HUC,4,0,166808476,+
homSap,6,108073,170924261,-
HUC,5,0,151075553,+
homSap,X,146367,155235957,+
HUC,6,0,94889222,+
homSap,7,62547313,159126082,-
HUC,6,94889222,98521345,+
homSap,7,53937424,57581022,-
HUC,6,98521345,99194629,+
homSap,7,53256634,53929918,+
HUC,6,99194629,145440558,+
homSap,7,6773654,53252315,-
HUC,7,0,130391077,+
homSap,8,12515565,146302299,+
HUC,8,0,129701068,+
homSap,12,148390,133803813,-
HUC,9,0,128671969,+
homSap,2,114384534,243085392,+
HUC,10,0,122961354,+
homSap,1,87771,147862068,-
HUC,11,0,108016187,+
homSap,2,11391,114328434,-
HUC,12,0,100030633,+
homSap,1,147993334,248804627,-
HUC,13,0,95014112,+
homSap,13,19167973,114477564,+
HUC,14,0,87901118,+
homSap,14,19387552,107288670,+
HUC,15,0,83322635,+
homSap,10,51915702,135479907,-
HUC,16,0,80323522,+
homSap,15,20071280,102520879,-
HUC,17,0,79980415,+
homSap,11,54920416,134943362,-
HUC,18,0,77685181,+
homSap,16,80227,90287998,+
HUC,19,0,76693745,+
homSap,17,0,81062279,+
HUC,20,0,15254350,+
homSap,18,112546,15366896,-
HUC,20,15254350,74749605,+
homSap,18,18520339,78015594,+
HUC,21,0,71022923,+
homSap,9,70099107,141122030,+
HUC,22,0,58865563,+
homSap,20,73810,62947801,-
HUC,23,0,54613225,+
homSap,19,176144,59089043,-
HUC,24,0,49317726,+
homSap,11,102548,49420274,-
HUC,25,0,47720653,+
homSap,10,70926,51898855,-
HUC,26,0,5126671,+
homSap,9,43705295,69736056,-
HUC,26,5126671,45071741,+
homSap,9,64049,40891121,-
HUC,27,0,34126795,+
homSap,22,16055290,51224913,+
HUC,28,0,33174843,+
homSap,21,14919809,48094652,-
HUC,29,0,4286499,+
homSap,8,8096954,12383453,+
HUC,29,4286499,11732374,+
homSap,8,13908,7459783,-
HUC,30,0,8614572,+
homSap,4,19026,8634585,-
HUC,31,0,4737570,+
homSap,7,1730704,6468274,-
HUC,32,0,1175085,+
homSap,11,49420274,50712923,-
HUC,33,0,749215,+
homSap,9,42146429,43028202,+
HUC,34,0,382361,+
homSap,7,62164952,62547313,+
HUC,35,0,324686,+
homSap,8,7563640,7888326,+
