name,chr,start,end,direction
BOR,1,0,1228139,+
canFam,20,1681102,2782764,+
BOR,1,1228139,2761829,+
canFam,20,3223743,4750796,+
BOR,1,2761829,13070428,+
canFam,20,6643674,15830590,+
BOR,1,13070428,33140132,+
canFam,20,18945477,37077548,+
BOR,1,33140132,40522333,+
canFam,20,37515452,43450567,+
BOR,1,40522333,42063943,+
canFam,23,1817097,3095350,+
BOR,1,42063943,51028027,+
canFam,23,4096827,12150158,-
BOR,1,51028027,52145078,+
canFam,23,3176489,4066171,+
BOR,1,52145078,62510557,+
canFam,23,12320865,21755681,+
BOR,1,62510557,67084655,+
canFam,23,23100879,27057212,+
BOR,1,67084655,87711709,+
canFam,23,27558344,45970378,+
BOR,1,87711709,90739917,+
canFam,23,47405527,49728285,+
BOR,1,90739917,92808713,+
canFam,23,50151909,51935190,+
BOR,1,92808713,94996614,+
canFam,34,25322181,27355829,+
BOR,1,94996614,98185047,+
canFam,34,29299855,31844733,+
BOR,1,98185047,109412975,+
canFam,34,32311438,42085721,+
BOR,1,109412975,121584851,+
canFam,34,12524239,23343860,+
BOR,1,121584851,123237057,+
canFam,34,23667691,25034851,+
BOR,1,123237057,123788604,+
canFam,23,52057932,52294371,+
BOR,1,123788604,127018020,+
canFam,33,29029975,31360353,-
BOR,1,127018020,140020128,+
canFam,33,16849866,28634429,-
BOR,1,140020128,146449561,+
canFam,33,10866358,16491943,-
BOR,1,146449561,152548819,+
canFam,33,5440231,10374214,-
BOR,1,152548819,158772164,+
canFam,33,13640,5003874,-
BOR,1,158772164,181897608,+
canFam,31,111142,19999047,+
BOR,1,181897608,202071100,+
canFam,31,20868869,39863068,+
BOR,2,0,1696529,+
canFam,4,9016286,10452544,-
BOR,2,1696529,10622360,+
canFam,4,457245,8659849,-
BOR,2,10622360,11475188,+
canFam,7,32148077,32870429,+
BOR,2,11475188,12173544,+
canFam,7,33314381,33936441,+
BOR,2,12173544,19114210,+
canFam,7,34477009,40421146,+
BOR,2,19114210,19773517,+
canFam,38,23623601,23889019,+
BOR,2,19773517,20556144,+
canFam,38,16284783,16841158,-
BOR,2,20556144,24532864,+
canFam,38,10990925,14401463,-
BOR,2,24532864,28619409,+
canFam,7,9507536,13220671,-
BOR,2,28619409,30834270,+
canFam,7,6666898,8817080,-
BOR,2,30834270,31313932,+
canFam,7,5814045,6240200,-
BOR,2,31313932,34888107,+
canFam,38,27521,2874139,-
BOR,2,34888107,35264940,+
canFam,7,222780,499160,+
BOR,2,35264940,38490494,+
canFam,7,2815781,5661623,+
BOR,2,38490494,47837210,+
canFam,38,3019463,10866170,+
BOR,2,47837210,54989916,+
canFam,7,13411555,19963300,-
BOR,2,54989916,55536706,+
canFam,7,20136911,20556203,+
BOR,2,55536706,62973688,+
canFam,7,20874306,27818211,+
BOR,2,62973688,66498775,+
canFam,7,28376892,31548026,+
BOR,2,66498775,69827652,+
canFam,38,17013372,19482713,+
BOR,2,69827652,73577348,+
canFam,38,19967074,22912498,+
BOR,2,73577348,73926926,+
canFam,38,23326785,23605705,+
BOR,2,73926926,78344987,+
canFam,7,40503537,43512765,+
BOR,2,78344987,79387359,+
canFam,17,61077580,61841110,-
BOR,2,79387359,89078881,+
canFam,17,51526387,60673580,-
BOR,2,89078881,91304932,+
canFam,17,62052787,63933896,+
BOR,2,91304932,93877876,+
canFam,6,40954284,43317135,+
BOR,2,93877876,118436608,+
canFam,6,43762369,64978837,+
BOR,2,118436608,123837215,+
canFam,6,65995081,70492292,+
BOR,2,123837215,131769965,+
canFam,6,70803669,77560424,+
BOR,2,131769965,132084572,+
canFam,5,43142019,43386241,+
BOR,2,132084572,145544055,+
canFam,5,44002943,55959175,+
BOR,2,145544055,155060160,+
canFam,15,8595277,17000459,+
BOR,2,155060160,164440738,+
canFam,15,378694,8191418,+
BOR,2,164440738,181983763,+
canFam,2,67977218,81622584,+
BOR,2,181983763,186663473,+
canFam,2,81963532,85408630,+
BOR,2,186663473,194415497,+
canFam,5,57340868,63272284,-
BOR,2,194415497,195644918,+
canFam,5,56135274,56949049,-
BOR,3,0,2504279,+
canFam,3,60564670,62433957,-
BOR,3,2504279,4066710,+
canFam,3,58778181,60027651,-
BOR,3,4066710,5194372,+
canFam,3,70482695,71352784,-
BOR,3,5194372,10238424,+
canFam,3,64670949,69237290,-
BOR,3,10238424,11791197,+
canFam,3,62963178,64361951,-
BOR,3,11791197,35072998,+
canFam,3,71606433,91363472,-
BOR,3,35072998,38112315,+
canFam,13,38496759,41027858,+
BOR,3,38112315,45620966,+
canFam,13,41490227,47608739,+
BOR,3,45620966,58207590,+
canFam,13,47944628,58699482,+
BOR,3,58207590,62572567,+
canFam,13,59743804,63168603,+
BOR,3,62572567,63034981,+
canFam,15,63889063,64190261,-
BOR,3,63034981,70160262,+
canFam,32,146039,6874523,+
BOR,3,70160262,73700171,+
canFam,32,7618175,11073085,+
BOR,3,73700171,74110138,+
canFam,32,11800846,12188815,+
BOR,3,74110138,81017168,+
canFam,32,12884814,19219048,+
BOR,3,81017168,86265490,+
canFam,32,19668488,23822491,+
BOR,3,86265490,91388749,+
canFam,32,25143580,29466838,+
BOR,3,91388749,96820285,+
canFam,32,30368926,35098534,+
BOR,3,96820285,100027772,+
canFam,32,36040407,38665122,+
BOR,3,100027772,102719878,+
canFam,19,17321343,19849917,-
BOR,3,102719878,122439958,+
canFam,19,100,16775597,-
BOR,3,122439958,143721406,+
canFam,15,42746235,61999103,+
BOR,3,143721406,150138854,+
canFam,25,19187826,25405576,+
BOR,3,150138854,169745796,+
canFam,16,36220010,53894968,-
BOR,3,169745796,177020934,+
canFam,16,28474029,34817523,-
BOR,3,177020934,178602228,+
canFam,16,26410474,27832848,-
BOR,3,178602228,180921398,+
canFam,16,23013527,25217842,-
BOR,3,180921398,182658498,+
canFam,16,21298796,22638667,-
BOR,4,0,689084,+
canFam,11,110351,445440,-
BOR,4,689084,2934703,+
canFam,11,1144184,3459801,+
BOR,4,2934703,14995050,+
canFam,4,35803800,46470607,+
BOR,4,14995050,22239358,+
canFam,4,46793624,53035691,+
BOR,4,22239358,26804730,+
canFam,4,56501689,60430773,+
BOR,4,26804730,35533145,+
canFam,2,34727586,42391279,-
BOR,4,35533145,36832853,+
canFam,11,25712748,26795739,-
BOR,4,36832853,43199245,+
canFam,11,19515705,25349565,-
BOR,4,43199245,52098078,+
canFam,11,11854972,18954073,-
BOR,4,52098078,52613445,+
canFam,11,10762242,11379756,-
BOR,4,52613445,53697595,+
canFam,11,9771691,10710060,+
BOR,4,53697595,59533724,+
canFam,11,3537096,8861946,-
BOR,4,59533724,60573255,+
canFam,3,228324,1118688,+
BOR,4,60573255,66498876,+
canFam,3,1662545,6581130,+
BOR,4,66498876,70402856,+
canFam,3,6933821,10141592,+
BOR,4,70402856,93746245,+
canFam,3,10633080,31201511,+
BOR,4,93746245,95518487,+
canFam,2,56053636,57400995,-
BOR,4,95518487,96779365,+
canFam,2,54652127,55690723,-
BOR,4,96779365,101209879,+
canFam,2,50672060,54301919,-
BOR,4,101209879,104628885,+
canFam,2,47575815,50364791,-
BOR,4,104628885,109775078,+
canFam,2,42472295,46962552,-
BOR,4,109775078,120384222,+
canFam,4,60548451,66322623,+
BOR,4,120384222,125608257,+
canFam,4,66864394,70987024,+
BOR,4,125608257,147259499,+
canFam,4,71524000,88273853,+
BOR,4,147259499,153471726,+
canFam,34,118918,5582929,+
BOR,4,153471726,157778808,+
canFam,34,6023024,9496140,+
BOR,4,157778808,158220777,+
canFam,34,11136077,11379478,+
BOR,5,0,2397118,+
canFam,3,33052599,35723298,+
BOR,5,2397118,4651968,+
canFam,3,39791172,41694479,+
BOR,5,4651968,17625074,+
canFam,3,42249330,53786883,+
BOR,5,17625074,19222695,+
canFam,3,54793861,56162079,+
BOR,5,19222695,20110408,+
canFam,3,56535374,57186845,+
BOR,5,20110408,20447542,+
canFam,3,58204609,58423550,+
BOR,5,20447542,21872287,+
canFam,30,37479668,38519219,-
BOR,5,21872287,37013863,+
canFam,30,22284298,37159234,-
BOR,5,37013863,49868554,+
canFam,30,9581564,21451997,-
BOR,5,49868554,59296585,+
canFam,30,745017,8918716,-
BOR,5,59296585,60898387,+
canFam,15,17527257,18684811,+
BOR,5,60898387,63263978,+
canFam,8,2560968,4436928,+
BOR,5,63263978,66365125,+
canFam,8,4757138,7526278,+
BOR,5,66365125,67998708,+
canFam,8,7999919,9483022,+
BOR,5,67998708,78269535,+
canFam,8,10188628,18979855,+
BOR,5,78269535,88889666,+
canFam,8,19314823,28401213,+
BOR,5,88889666,107870147,+
canFam,8,29062758,45534927,+
BOR,5,107870147,123854849,+
canFam,8,46187811,60042180,+
BOR,5,123854849,126059391,+
canFam,8,60499845,62365487,+
BOR,5,126059391,127348841,+
canFam,8,1164146,2155297,+
BOR,5,127348841,139695967,+
canFam,8,62387310,72830226,+
BOR,6,0,802787,+
canFam,12,348633,886979,+
BOR,6,802787,1241613,+
canFam,12,1292449,1628309,+
BOR,6,1241613,5003083,+
canFam,12,2035154,5511245,+
BOR,6,5003083,20903817,+
canFam,12,6177875,20717697,+
BOR,6,20903817,22541882,+
canFam,12,21682373,23135825,+
BOR,6,22541882,23776713,+
canFam,12,23610597,24752120,+
BOR,6,23776713,25739985,+
canFam,12,27311412,29059333,+
BOR,6,25739985,73278828,+
canFam,12,29968895,71952167,+
BOR,6,73278828,83600273,+
canFam,1,57105685,65991899,+
BOR,6,83600273,87560584,+
canFam,1,66350076,69541839,+
BOR,6,87560584,88332135,+
canFam,1,25002628,25523915,-
BOR,6,88332135,89030282,+
canFam,1,25635819,26296525,+
BOR,6,89030282,94417382,+
canFam,1,26603159,31248191,+
BOR,6,94417382,112423164,+
canFam,1,32214881,47934171,+
BOR,6,112423164,119367183,+
canFam,1,48385670,54407451,+
BOR,6,119367183,119794174,+
canFam,1,56453608,56725212,+
BOR,6,119794174,120619556,+
canFam,12,71953888,72488829,+
BOR,7,0,1436475,+
canFam,19,21980473,23468799,+
BOR,7,1436475,5469975,+
canFam,19,25399230,29006409,+
BOR,7,5469975,12493049,+
canFam,19,29523807,35692250,+
BOR,7,12493049,16182589,+
canFam,19,36950237,40416971,+
BOR,7,16182589,28318931,+
canFam,19,42138983,52955646,+
BOR,7,28318931,29017332,+
canFam,19,53266814,53738885,+
BOR,7,29017332,65007626,+
canFam,36,1332,30801768,+
BOR,7,65007626,68170330,+
canFam,37,397826,3213999,+
BOR,7,68170330,83286897,+
canFam,37,3659901,16784219,+
BOR,7,83286897,98455511,+
canFam,37,17189605,30034850,+
BOR,7,98455511,116255891,+
canFam,25,37679788,51628530,+
BOR,8,0,3333658,+
canFam,18,815771,3510763,-
BOR,8,3333658,4457772,+
canFam,16,951982,1266059,+
BOR,8,4457772,8758881,+
canFam,18,7292055,11244330,+
BOR,8,8758881,9128345,+
canFam,18,11742018,12085471,+
BOR,8,9128345,13800506,+
canFam,14,45159633,48857430,-
BOR,8,13800506,45866864,+
canFam,14,16288521,44852861,-
BOR,8,45866864,47890256,+
