name,chr,start,end,direction
GAP,1,14643781,53409049,+
ponAbe,3,23578,39352326,
GAP,1,53409049,193720908,+
ponAbe,3,57377450,202124768,+
GAP,2,0,48475655,+
ponAbe,4,10012,50710143,+
GAP,2,48475655,65230188,+
ponAbe,4,50778207,68424566,
GAP,2,65230188,186104451,+
ponAbe,4,71716733,198322211,+
GAP,3,0,173908854,+
ponAbe,5,10000,183911567,+
GAP,4,0,165927944,+
ponAbe,6,27545,174198330,
GAP,5,0,151130069,+
ponAbe,X,0,156188086,+
GAP,6,0,141011944,+
ponAbe,8,10000,153469492,+
GAP,7,0,53001683,+
ponAbe,7,102454652,157536646,
GAP,7,53572681,123252122,+
ponAbe,7,30503099,102391223,
GAP,7,123252122,123925406,+
ponAbe,7,29703714,30473097,+
GAP,7,123925406,125372653,+
ponAbe,7,28148538,29661145,
GAP,7,125776152,130866795,+
ponAbe,7,21059690,28087874,
GAP,7,130866795,136472669,+
ponAbe,7,15071463,21027085,+
GAP,8,0,129617826,+
ponAbe,12,22305,136377465,
GAP,9,0,128342186,+
ponAbe,2b,3181198,134834827,+
GAP,10,0,127278998,+
ponAbe,11,21217,132089415,
GAP,11,0,120648362,+
ponAbe,1,107619643,229893813,
GAP,12,0,112881245,+
ponAbe,9,19006379,135181526,
GAP,13,407172,105870741,+
ponAbe,2a,3029455,113018650,+
GAP,14,0,1222811,+
ponAbe,1,105605061,107220582,+
GAP,14,1222811,100476601,+
ponAbe,1,13101,101820502,
GAP,15,0,95113470,+
ponAbe,13,17929185,117079030,+
GAP,16,0,69372438,+
ponAbe,14,18724533,90610569,+
GAP,16,69713434,87133029,+
ponAbe,14,90640569,108858599,+
GAP,17,0,82082076,+
ponAbe,10,10588,85573672,
GAP,18,0,78654551,+
ponAbe,15,18445016,99142023,
GAP,19,0,45983275,+
ponAbe,16,30047964,77774450,
GAP,19,46655772,75250191,+
ponAbe,16,10025,29973331,
GAP,20,0,73982347,+
ponAbe,18,17364363,94040587,+
GAP,21,0,38493654,+
ponAbe,20,22692339,62725295,
GAP,21,38493654,58680474,+
ponAbe,20,15225,20919888,+
GAP,22,0,34213566,+
ponAbe,19,20273685,60704840,
GAP,22,34720805,54506772,+
ponAbe,19,10000,20258023,
GAP,23,0,44822672,+
ponAbe,10,87453098,133399686,
GAP,23,44822672,46626449,+
ponAbe,10,85605510,87452935,+
GAP,24,0,6741369,+
ponAbe,17,43934901,50785500,+
GAP,24,7088909,18895034,+
ponAbe,17,20063616,32783194,
GAP,24,19690431,39042414,+
ponAbe,17,10000,19671090,
GAP,25,0,20701771,+
ponAbe,17,52092559,73202404,
GAP,25,21590999,22940638,+
ponAbe,17,50867011,52026491,
GAP,25,23343509,32801310,+
ponAbe,17,32958039,42299847,+
GAP,25,33205666,33547484,+
ponAbe,17,42392551,42508140,+
GAP,25,34608500,35057941,+
ponAbe,17,42603677,42699651,+
GAP,25,35471127,36510696,+
ponAbe,17,42737339,43778595,+
GAP,26,0,32641305,+
ponAbe,22,13761019,46494378,
GAP,26,33046573,33842773,+
ponAbe,22,13578809,13730909,
GAP,27,0,33113184,+
ponAbe,21,13379635,48382219,
GAP,28,0,1970495,+
ponAbe,7,13004274,14867634,+
GAP,28,1970495,14511535,+
ponAbe,7,292659,12837791,
