name,chr,start,end,direction
EUT,1,0,195643760,+
BOR,1,0,202071100,+
EUT,2,0,189879735,+
BOR,2,0,195644918,+
EUT,3,0,170486725,+
BOR,3,0,182583642,+
EUT,3,170486725,178709145,+
BOR,24,0,8222420,+
EUT,4,0,151258397,+
BOR,4,272075,157778808,+
EUT,5,0,115026909,+
BOR,6,0,118735422,+
EUT,6,0,111511256,+
BOR,7,0,116255891,+
EUT,7,0,103762424,+
BOR,8,0,106968929,+
EUT,7,103762424,105915629,+
BOR,21,0,2159023,+
EUT,8,0,104387345,+
BOR,9,529389,106036964,+
EUT,9,0,88585688,+
BOR,11,0,91328113,+
EUT,10,0,86057111,+
BOR,13,0,87127513,+
EUT,11,0,84903778,+
BOR,12,0,89631212,+
EUT,12,0,78470678,+
BOR,5,59365643,139679042,+
EUT,13,0,76726383,+
BOR,14,0,77963329,+
EUT,14,0,72844807,+
BOR,15,18483,77606948,+
EUT,15,0,72178346,+
BOR,10,0,78161767,+
EUT,16,0,63144597,+
BOR,16,425977,65232203,+
EUT,17,0,56548811,+
BOR,5,0,59296585,-
EUT,18,0,54590973,+
BOR,17,0,57447895,+
EUT,19,0,54313801,+
BOR,18,0,56050312,+
EUT,20,0,51593833,+
BOR,19,0,51968758,+
EUT,21,0,14044501,+
BOR,20,0,15043190,+
EUT,21,14057815,14456599,+
BOR,20,15043190,15441974,-
EUT,21,14469814,39364950,+
BOR,20,15441974,40365709,+
EUT,22,0,26827606,+
BOR,21,2173007,29380427,-
EUT,23,0,26704390,+
BOR,22,0,29564801,+
EUT,24,0,25300343,+
BOR,23,246434,26320538,+
EUT,25,0,7620541,+
BOR,25,252266,7872807,+
EUT,26,0,6129411,+
BOR,10,87753434,94336596,-
EUT,27,0,5476214,+
BOR,10,78319431,87619100,-
EUT,28,0,3728507,+
BOR,24,8222420,12541311,+
EUT,29,0,2724940,+
BOR,26,742316,3513748,+
EUT,30,0,1813444,+
BOR,28,0,1813444,+
EUT,31,0,961284,+
BOR,29,0,961284,+
EUT,32,0,953675,+
BOR,27,2283902,3237577,+
EUT,33,0,929585,+
BOR,26,3900443,4830028,+
EUT,34,0,919387,+
BOR,30,0,919387,+
EUT,35,0,572000,+
BOR,11,91328113,91900113,-
EUT,36,0,405717,+
BOR,22,30005179,30410896,-
EUT,X1,0,53201852,+
BOR,X,0,57207206,+
EUT,X2,0,24336721,+
BOR,X,57207206,83432965,+
