name,chr,start,end,direction
BOR,1,0,1228139,+
bosTau,22,60742957,61594785,-
BOR,1,1228139,2761829,+
bosTau,22,58970595,60386367,-
BOR,1,2761829,4356555,+
bosTau,22,55460427,57069739,-
BOR,1,4356555,13070428,+
bosTau,22,17104163,25506421,+
BOR,1,13070428,33140132,+
bosTau,22,29134585,49047903,+
BOR,1,33140132,40522333,+
bosTau,22,49498655,55408045,+
BOR,1,40522333,46977877,+
bosTau,22,11828315,16882004,-
BOR,1,46977877,47703377,+
bosTau,22,10811098,11449182,-
BOR,1,47703377,48200447,+
bosTau,22,10371067,10801054,+
BOR,1,48200447,57347169,+
bosTau,22,1201242,10321983,-
BOR,1,57347169,58204918,+
bosTau,27,41403337,41980969,+
BOR,1,58204918,62510557,+
bosTau,27,43665789,48458497,-
BOR,1,62510557,67084655,+
bosTau,1,156449629,161284894,-
BOR,1,67084655,67396414,+
bosTau,1,155421202,155772260,-
BOR,1,67396414,69415859,+
bosTau,1,139165053,141739128,-
BOR,1,69415859,87711709,+
bosTau,1,118241397,138829613,-
BOR,1,87711709,90739917,+
bosTau,1,113250871,116450923,-
BOR,1,90739917,92808713,+
bosTau,1,110126199,112628914,-
BOR,1,92808713,94996614,+
bosTau,1,107216694,109657265,-
BOR,1,94996614,98185047,+
bosTau,1,102450552,105566381,-
BOR,1,98185047,121584851,+
bosTau,1,77275655,101955229,-
BOR,1,121584851,127018020,+
bosTau,1,71482537,76818073,-
BOR,1,127018020,140020128,+
bosTau,1,57872597,71101470,-
BOR,1,140020128,141417201,+
bosTau,1,55700063,57265317,-
BOR,1,141417201,143705402,+
bosTau,1,53262709,55682179,+
BOR,1,143705402,152548819,+
bosTau,1,43805683,53249530,-
BOR,1,152548819,163828748,+
bosTau,1,30811250,43151504,-
BOR,1,163828748,164142259,+
bosTau,10,15294896,15607266,-
BOR,1,164142259,168799456,+
bosTau,1,25326265,30791330,-
BOR,1,168799456,169947642,+
bosTau,1,24106817,25315157,+
BOR,1,169947642,181897608,+
bosTau,1,11635865,23865966,-
BOR,1,181897608,190869898,+
bosTau,1,217360,10509270,-
BOR,1,190869898,195262374,+
bosTau,1,150251780,155259526,+
BOR,1,195262374,199066097,+
bosTau,1,141755680,146278905,+
BOR,1,199066097,200717139,+
bosTau,1,146784996,148321656,-
BOR,1,200717139,202071100,+
bosTau,1,148324275,149686169,+
BOR,2,0,969914,+
bosTau,28,72,539165,+
BOR,2,969914,1696529,+
bosTau,28,1727390,2477726,+
BOR,2,1696529,2401800,+
bosTau,28,631736,1082894,-
BOR,2,2401800,7418629,+
bosTau,28,2561498,7618262,+
BOR,2,7418629,10622360,+
bosTau,28,7945799,11353041,+
BOR,2,10622360,11475188,+
bosTau,16,32668506,33251248,-
BOR,2,11475188,12173544,+
bosTau,16,31583964,32259342,-
BOR,2,12173544,17442609,+
bosTau,16,25957470,31111073,-
BOR,2,17442609,24532864,+
bosTau,16,17703600,25632562,-
BOR,2,24532864,28619409,+
bosTau,16,65896324,70107871,+
BOR,2,28619409,30834270,+
bosTau,16,71016155,73716641,+
BOR,2,30834270,34888107,+
bosTau,16,31359,3921287,-
BOR,2,34888107,38490494,+
bosTau,16,74172494,77702999,-
BOR,2,38490494,38888532,+
bosTau,16,4349304,4774145,+
BOR,2,38888532,47837210,+
bosTau,16,5780457,17515124,+
BOR,2,47837210,55536706,+
bosTau,16,58107612,65730551,-
BOR,2,55536706,61080355,+
bosTau,16,51878835,57749551,-
BOR,2,61080355,62582289,+
bosTau,16,35697274,37468209,-
BOR,2,62582289,62973688,+
bosTau,2,107700553,108100103,+
BOR,2,62973688,64965913,+
bosTau,16,33281152,35417599,-
BOR,2,64965913,69827652,+
bosTau,3,773812,6628199,+
BOR,2,69827652,73577348,+
bosTau,3,7183815,11544720,+
BOR,2,73577348,74467490,+
bosTau,3,12623118,14076096,+
BOR,2,74467490,78344987,+
bosTau,3,14566469,18104954,+
BOR,2,78344987,79387359,+
bosTau,3,18638119,19881112,+
BOR,2,79387359,81298736,+
bosTau,3,20453157,22249807,+
BOR,2,81298736,82521547,+
bosTau,3,23028252,24223411,+
BOR,2,82521547,91304932,+
bosTau,3,24555743,34226728,+
BOR,2,91304932,93877876,+
bosTau,3,34762648,37280476,+
BOR,2,93877876,108103603,+
bosTau,3,38021915,52712926,+
BOR,2,108103603,112120533,+
bosTau,3,53094433,56914675,+
BOR,2,112120533,118436608,+
bosTau,3,57953151,65413778,+
BOR,2,118436608,123837215,+
bosTau,3,66762981,72804983,+
BOR,2,123837215,127151551,+
bosTau,3,73193180,76736834,+
BOR,2,127151551,128849693,+
bosTau,3,77450836,79258201,+
BOR,2,128849693,132084572,+
bosTau,3,79656385,83175204,+
BOR,2,132084572,132868103,+
bosTau,3,83898355,84791717,+
BOR,2,132868103,133253287,+
bosTau,3,84794119,85114405,-
BOR,2,133253287,155060160,+
bosTau,3,85120606,108833672,+
BOR,2,155060160,164440738,+
bosTau,3,109137532,118601531,+
BOR,2,164440738,181983763,+
bosTau,2,125792943,141876512,+
BOR,2,181983763,184429958,+
bosTau,16,49148184,51688826,+
BOR,2,184429958,186663473,+
bosTau,16,37801407,40093557,+
BOR,2,186663473,194415497,+
bosTau,16,40395480,47619506,+
BOR,2,194415497,195644918,+
bosTau,16,48011175,48786025,+
BOR,3,0,2504279,+
bosTau,6,118647745,120671999,+
BOR,3,2504279,4066710,+
bosTau,6,121223226,122518652,-
BOR,3,4066710,5194372,+
bosTau,6,107017925,108395872,+
BOR,3,5194372,6138024,+
bosTau,6,109737192,110779653,+
BOR,3,6138024,10238424,+
bosTau,6,111096989,115383881,+
BOR,3,10238424,11791197,+
bosTau,6,115719384,117428355,+
BOR,3,11791197,38112315,+
bosTau,6,38008381,65900509,+
BOR,3,38112315,45620966,+
bosTau,6,66219291,73319130,+
BOR,3,45620966,58207590,+
bosTau,6,73642804,86592788,+
BOR,3,58207590,63034981,+
bosTau,6,88618865,93232090,+
BOR,3,63034981,70160262,+
bosTau,6,93578568,101485134,+
BOR,3,70160262,71367280,+
bosTau,6,102438353,103805010,+
BOR,3,71367280,73700171,+
bosTau,6,104187659,106562661,+
BOR,3,73700171,81017168,+
bosTau,6,29650973,36988956,-
BOR,3,81017168,86265490,+
bosTau,6,23933939,29031023,-
BOR,3,86265490,91388749,+
bosTau,6,17475907,22571684,-
BOR,3,91388749,96820285,+
bosTau,6,11016585,16542165,-
BOR,3,96820285,100027772,+
bosTau,6,5844573,9702344,-
BOR,3,100027772,101614363,+
bosTau,6,3566130,5458967,-
BOR,3,101614363,102110028,+
bosTau,17,37047103,37544531,-
BOR,3,102110028,102719878,+
bosTau,17,36455321,36979762,+
BOR,3,102719878,134013021,+
bosTau,17,2173360,35914652,-
BOR,3,134013021,140624164,+
bosTau,17,37746867,46111057,-
BOR,3,140624164,142627990,+
bosTau,6,165623,3061172,-
BOR,3,142627990,143721406,+
bosTau,17,146203,1982997,+
BOR,3,143721406,150138854,+
bosTau,8,452428,7131166,+
BOR,3,150138854,169745796,+
bosTau,27,7873843,26094495,+
BOR,3,169745796,177020934,+
bosTau,27,27489365,34136087,+
BOR,3,177020934,178602228,+
bosTau,27,34804078,36317163,+
BOR,3,178602228,182658498,+
bosTau,27,37375651,41257973,+
BOR,4,0,689084,+
bosTau,7,39238131,39712290,-
BOR,4,689084,1217438,+
bosTau,7,477642,1085454,+
BOR,4,1217438,2140496,+
bosTau,7,1402958,2375638,+
BOR,4,2140496,4146918,+
bosTau,7,37139202,39113577,-
BOR,4,4146918,5241560,+
bosTau,10,4722335,5938928,+
BOR,4,5241560,8939378,+
bosTau,20,3018638,6732088,-
BOR,4,8939378,11356824,+
bosTau,20,12255,2769411,+
BOR,4,11356824,14995050,+
bosTau,7,78498527,82322903,-
BOR,4,14995050,22239358,+
bosTau,7,69482191,77509266,-
BOR,4,22239358,26804730,+
bosTau,7,60193011,64964969,-
BOR,4,26804730,28063972,+
bosTau,7,58056211,59541783,+
BOR,4,28063972,36832853,+
bosTau,7,48777255,57960223,-
BOR,4,36832853,40652903,+
bosTau,7,44391892,48305419,-
BOR,4,40652903,41135421,+
bosTau,7,43062423,43517155,-
BOR,4,41135421,41482887,+
bosTau,7,44029303,44377849,-
BOR,4,41482887,43199245,+
bosTau,7,20277264,21909484,+
BOR,4,43199245,56988467,+
bosTau,7,22502678,37117982,+
BOR,4,56988467,59533724,+
bosTau,10,1887966,4511504,-
BOR,4,59533724,59962842,+
bosTau,10,548803,902169,+
BOR,4,59962842,60573255,+
bosTau,10,1250309,1841390,+
BOR,4,60573255,65017681,+
bosTau,7,108093097,112811385,-
BOR,4,65017681,66498876,+
bosTau,7,104297740,105690737,+
BOR,4,66498876,68345913,+
bosTau,7,106208006,108087918,+
BOR,4,68345913,70402856,+
bosTau,7,102081729,104146400,-
BOR,4,70402856,72787367,+
bosTau,7,98571036,101431864,-
BOR,4,72787367,88886633,+
bosTau,7,82337069,98268804,-
BOR,4,88886633,93746245,+
bosTau,10,6056650,10797165,-
BOR,4,93746245,95518487,+
bosTau,20,6799575,8823952,+
BOR,4,95518487,96779365,+
bosTau,20,9515166,10662942,+
BOR,4,96779365,101209879,+
bosTau,20,11062252,15463250,+
BOR,4,101209879,104628885,+
bosTau,20,16266493,19600252,+
BOR,4,104628885,120384222,+
bosTau,20,20448067,32978576,+
BOR,4,120384222,125608257,+
bosTau,20,33565254,38747491,+
BOR,4,125608257,134565900,+
bosTau,20,39219613,47912604,+
BOR,4,134565900,153471726,+
bosTau,20,48433313,68429707,+
BOR,4,153471726,157778808,+
bosTau,20,68869377,73062806,+
BOR,4,157778808,158220777,+
bosTau,20,74847680,75060458,+
BOR,5,0,2397118,+
bosTau,21,23289,3666316,-
BOR,5,2397118,4651968,+
bosTau,21,3861037,6475798,+
BOR,5,4651968,15365644,+
bosTau,21,7070605,19341889,+
BOR,5,15365644,17625074,+
bosTau,21,20045033,22026573,+
BOR,5,17625074,19222695,+
bosTau,21,23519846,24875705,-
BOR,5,19222695,20110408,+
bosTau,21,26102627,26952812,-
BOR,5,20110408,20447542,+
bosTau,21,30496533,30837019,+
BOR,5,20447542,21872287,+
bosTau,21,33186030,34394565,+
BOR,5,21872287,26435928,+
bosTau,10,16022477,20887816,-
BOR,5,26435928,29928512,+
bosTau,10,11741864,15286970,-
BOR,5,29928512,30694980,+
bosTau,10,45228322,45861627,+
BOR,5,30694980,34592312,+
bosTau,10,46162145,50515044,+
BOR,5,34592312,37013863,+
bosTau,10,51153465,53734120,+
BOR,5,37013863,40973336,+
bosTau,10,54741425,58936402,+
BOR,5,40973336,41845705,+
