name,chr,start,end,direction
EUT,1,0,1228139,+
galGal,12,9123125,9736745,-
EUT,1,1228139,1982733,+
galGal,12,5610591,6056775,+
EUT,1,1982733,2339253,+
galGal,12,10946582,11051721,+
EUT,1,2339253,3495921,+
galGal,12,4050593,4598528,-
EUT,1,3933979,4640235,+
galGal,12,11361663,11489508,-
EUT,1,4640235,12092374,+
galGal,12,17667687,19413231,-
EUT,1,12092374,27128437,+
galGal,12,11772574,16566523,-
EUT,1,27128437,31359691,+
galGal,12,6937065,8823847,-
EUT,1,31359691,32162078,+
galGal,12,758581,1352441,-
EUT,1,32162078,32361829,+
galGal,12,2880807,2970290,-
EUT,1,32361829,34280977,+
galGal,12,1406390,2266113,-
EUT,1,34280977,34471900,+
galGal,12,3146257,3231785,-
EUT,1,34471900,35155144,+
galGal,12,2339948,2646022,-
EUT,1,35155144,36044596,+
galGal,12,11514645,11770676,+
EUT,1,36044596,37223434,+
galGal,2,630563,929063,+
EUT,1,37223434,38019199,+
galGal,2,3844288,3975887,-
EUT,1,38019199,39358599,+
galGal,2,43257944,43665950,+
EUT,1,39358599,41214496,+
galGal,2,41196004,41749328,+
EUT,1,41214496,43706283,+
galGal,2,43840790,44418192,-
EUT,1,44596551,45709372,+
galGal,2,5224385,5739854,+
EUT,1,45709372,45741703,+
galGal,2,4904102,4921789,-
EUT,1,45741703,46571641,+
galGal,2,49461396,49657497,+
EUT,1,46571641,49791853,+
galGal,2,45413304,46619874,-
EUT,1,49791853,50897506,+
galGal,2,42900874,45389996,-
EUT,1,50897506,61142792,+
galGal,2,37049291,41109347,-
EUT,1,61142792,65425509,+
galGal,2,34532806,36477127,-
EUT,1,65425509,67237495,+
galGal,2,42276655,42952853,+
EUT,1,67237495,67770364,+
galGal,2,43096379,43212471,+
EUT,1,67770364,68863291,+
galGal,9,3965895,4095995,-
EUT,1,68863291,70108399,+
galGal,9,3173966,3396344,+
EUT,1,70108399,71306186,+
galGal,9,99800,373354,+
EUT,1,71306186,72340580,+
galGal,9,3609890,3846128,-
EUT,1,72340580,75620641,+
galGal,9,5092498,5912345,+
EUT,1,75620641,83061984,+
galGal,9,9667800,11920401,+
EUT,1,83061984,90873173,+
galGal,9,21597011,23422077,-
EUT,1,90873173,91540207,+
galGal,9,21471801,21567706,+
EUT,1,91540207,108792009,+
galGal,9,15867534,20920044,-
EUT,1,108792009,109299659,+
galGal,9,2069866,2177456,+
EUT,1,109299659,110473035,+
galGal,9,15157251,15405933,+
EUT,1,110473035,111340837,+
galGal,9,2975249,3159168,+
EUT,1,112060133,120819859,+
galGal,9,11946583,14359176,-
EUT,1,120819859,121230329,+
galGal,9,4140624,4218372,+
EUT,1,121230329,121577773,+
galGal,9,14418591,14445706,+
EUT,1,121577773,124762626,+
galGal,7,25949793,27671284,-
EUT,1,125308883,127454643,+
galGal,1,78864117,79606783,+
EUT,1,127454643,134579881,+
galGal,1,80049142,83003220,+
EUT,1,134887055,135283340,+
galGal,1,87634396,87728660,-
EUT,1,136557043,145257485,+
galGal,1,84353675,87219946,-
EUT,1,145257485,145731935,+
galGal,1,83989294,84212741,+
EUT,1,145731935,146021581,+
galGal,1,83661749,83798160,+
EUT,1,146807443,148145949,+
galGal,1,90216634,90723514,-
EUT,1,148145949,149865389,+
galGal,1,89687173,89905340,-
EUT,1,149865389,153334922,+
galGal,1,88157034,89369225,-
EUT,1,153334922,193139864,+
galGal,1,92198142,108891218,+
EUT,1,193139864,194289799,+
galGal,1,109234455,109667627,+
EUT,1,194289799,195643760,+
galGal,7,6663935,6878252,+
EUT,2,0,2073492,+
galGal,3,39301700,40035060,+
EUT,2,2073492,14835363,+
galGal,3,33122561,39099854,-
EUT,2,14835363,15858505,+
galGal,3,11634096,11929694,+
EUT,2,15858505,19264791,+
galGal,3,16418846,17596382,+
EUT,2,19264791,26873199,+
galGal,3,18370095,21706110,+
EUT,2,26873199,27221304,+
galGal,3,22061317,22122594,+
EUT,2,27221304,32566444,+
galGal,26,1620200,3082672,-
EUT,2,32566444,33141897,+
galGal,26,5157091,5283135,-
EUT,2,33141897,33518730,+
galGal,26,500558,662181,+
EUT,2,33518730,40774749,+
galGal,8,1552895,3646861,+
EUT,2,42887563,43561626,+
galGal,8,8506691,8522830,+
EUT,2,44082535,47502436,+
galGal,8,9061669,9980434,+
EUT,2,47502436,51589337,+
galGal,8,7473373,7949348,-
EUT,2,51589337,58735430,+
galGal,8,5811183,7393911,+
EUT,2,58735430,60873311,+
galGal,8,4448333,5073478,+
EUT,2,60873311,62251615,+
galGal,1,83019628,83190619,+
EUT,2,62251615,63781129,+
galGal,1,90781387,91239793,+
EUT,2,63781129,67110006,+
galGal,8,5129799,5416714,+
EUT,2,67110006,67876751,+
galGal,8,3789944,3852823,+
EUT,2,71082321,72537905,+
galGal,25,361028,570207,+
EUT,2,72537905,74274664,+
galGal,25,1235441,1485027,-
EUT,2,74274664,74818991,+
galGal,25,1287268,1365492,+
EUT,2,75315637,76349143,+
galGal,25,1701413,2118320,-
EUT,2,76349143,76506196,+
galGal,25,1495977,1559331,+
EUT,2,76506196,77227014,+
galGal,25,29741,320512,+
EUT,2,77665166,78449825,+
galGal,1,91711976,91841217,-
EUT,2,78822430,81164251,+
galGal,1,77971549,78801826,+
EUT,2,81164251,83251242,+
galGal,1,79655323,79957237,+
EUT,2,83251242,86752393,+
galGal,26,3165752,3913715,-
EUT,2,86752393,87800035,+
galGal,26,1249288,1441784,-
EUT,2,87800035,93030160,+
galGal,8,41712,1355932,-
EUT,2,93030160,112671425,+
galGal,8,10001374,16103382,+
EUT,2,112671425,118072032,+
galGal,8,16596965,18441803,+
EUT,2,118072032,149294977,+
galGal,8,18515483,28713218,-
EUT,2,150766718,152074709,+
galGal,23,4824656,4908517,-
EUT,2,152074709,153039819,+
galGal,23,5293392,5516130,-
EUT,2,153039819,158675555,+
galGal,23,3211208,4802997,+
EUT,2,158675555,159639872,+
galGal,23,5143290,5285867,-
EUT,2,159639872,159932774,+
galGal,23,5064994,5137170,+
EUT,2,159932774,160547428,+
galGal,23,4910750,5062211,-
EUT,2,160547428,162053995,+
galGal,23,243828,615071,-
EUT,2,162053995,163608138,+
galGal,23,2577992,3073433,-
EUT,2,163608138,164769404,+
galGal,23,1777532,2047784,-
EUT,2,164769404,165711817,+
galGal,23,21343,240663,+
EUT,2,165711817,166884836,+
galGal,23,2227444,2500431,+
EUT,2,166884836,167724744,+
galGal,23,5518542,5714007,-
EUT,2,167724744,168435872,+
galGal,23,1548293,1713788,+
EUT,2,168435872,172592123,+
galGal,21,5937143,6767607,+
EUT,2,172592123,175279088,+
galGal,21,4433547,4904587,-
EUT,2,175279088,176218580,+
galGal,21,5766,170464,+
EUT,2,176218580,179940540,+
galGal,21,4906396,5833234,+
EUT,2,179940540,183551064,+
galGal,21,3033345,4197403,-
EUT,2,183551064,188650314,+
galGal,21,214779,1504437,+
EUT,2,188650314,189879735,+
galGal,21,1893020,2990091,+
EUT,3,0,2504279,+
galGal,4,81141397,83568279,-
EUT,3,3447931,42088268,+
galGal,4,64343679,77484778,-
EUT,3,42088268,43432287,+
galGal,4,46431877,46505908,+
EUT,3,43432287,44913285,+
galGal,4,46530988,46612564,-
EUT,3,44913285,47711908,+
galGal,4,47218998,47878031,+
EUT,3,47711908,51540404,+
galGal,4,50411591,51060289,+
EUT,3,51540404,54795372,+
galGal,4,49439444,50264102,+
EUT,3,56695601,58318424,+
galGal,4,49057553,49367603,-
EUT,3,58318424,59178691,+
galGal,4,34203642,34468208,-
EUT,3,59178691,62562174,+
galGal,4,44291560,44890964,+
EUT,3,62562174,63493076,+
galGal,4,45738978,45834323,-
EUT,3,63493076,64700094,+
galGal,4,46006809,46249673,+
EUT,3,64700094,67032985,+
galGal,4,45109989,45607599,-
EUT,3,67032985,71332298,+
galGal,4,34487657,36621564,+
EUT,3,71332298,78763235,+
galGal,4,57868424,60354248,+
EUT,3,78763235,83886494,+
galGal,4,36858184,38496411,-
EUT,3,83886494,88892919,+
galGal,4,55605417,57469635,-
EUT,3,88892919,97194479,+
galGal,4,51261900,54811250,-
EUT,3,97194479,98649259,+
galGal,4,33702379,34041926,+
EUT,3,98649259,120184946,+
galGal,4,25047049,33407929,+
EUT,3,120184946,122396739,+
galGal,4,19312213,20014901,+
EUT,3,122396739,131859723,+
galGal,4,20323468,23655784,+
EUT,3,131859723,132439208,+
galGal,4,24505686,24673239,+
EUT,3,132439208,133802750,+
galGal,4,24694473,25018294,-
EUT,3,133802750,139742630,+
galGal,4,41749007,43993974,+
EUT,3,139742630,147886555,+
galGal,4,38696345,41721034,-
EUT,3,147886555,150253647,+
galGal,4,60646122,61434572,+
EUT,3,150253647,157884113,+
galGal,4,61981911,64338182,+
EUT,3,159146461,161383531,+
galGal,Z,53778075,54006345,-
EUT,3,161383531,168658797,+
galGal,22,1596033,2695910,+
EUT,3,169059715,169544252,+
galGal,4,33522739,33544506,-
EUT,3,169544252,170486725,+
galGal,Z,54403993,54498469,-
EUT,3,170486725,176684018,+
galGal,22,457566,1595263,-
EUT,3,177236220,177813515,+
galGal,3,104750654,104779323,-
EUT,3,177813515,178709145,+
galGal,3,105439212,105923423,+
EUT,4,417009,527683,+
galGal,13,12680633,12710707,+
EUT,4,527683,945363,+
galGal,13,13168350,13281847,+
EUT,4,945363,1868421,+
galGal,13,12772662,13149458,+
EUT,4,1868421,2598876,+
galGal,13,13447076,13632708,+
EUT,4,2598876,2858696,+
galGal,13,9432768,9521692,-
EUT,4,2858696,4423981,+
galGal,13,9526089,9789971,+
EUT,4,4423981,7239398,+
galGal,13,8372601,9281136,-
EUT,4,7239398,20176739,+
galGal,13,2203763,7382270,+
EUT,4,20176739,22240153,+
galGal,13,10003828,10775984,+
EUT,4,22240153,25473670,+
galGal,13,11943258,12631875,+
EUT,4,25473670,26766532,+
galGal,13,7684348,7941602,+
EUT,4,26766532,32840984,+
galGal,13,16624522,17531158,-
EUT,4,32840984,35494947,+
galGal,13,441114,1327624,-
EUT,4,35494947,36329861,+
galGal,13,1825257,2184916,+
EUT,4,36329861,37257452,+
galGal,13,13640138,13887074,+
EUT,4,37257452,41118508,+
galGal,13,14292367,15764123,+
EUT,4,41118508,43161047,+
galGal,13,15794695,16547002,-
EUT,4,43161047,44408724,+
galGal,Z,44961340,45444666,+
EUT,4,44408724,46685304,+
galGal,Z,56005090,56754836,-
EUT,4,46685304,50258253,+
galGal,Z,78752432,79929111,+
EUT,4,50258253,52059880,+
galGal,Z,80758312,81351641,-
EUT,4,53144030,56428471,+
galGal,Z,71401970,72822911,+
EUT,4,56428471,56859225,+
galGal,Z,78585229,78735932,-
EUT,4,58398964,58828082,+
galGal,Z,45811162,45908527,+
EUT,4,58828082,59438495,+
galGal,Z,46261027,46283145,+
EUT,4,59438495,69039776,+
galGal,Z,46645712,50567899,+
EUT,4,69039776,71424287,+
galGal,Z,50898061,51455502,+
EUT,4,71424287,87142686,+
galGal,Z,56924807,63964457,+
EUT,4,87142686,95035418,+
galGal,Z,21874389,25251782,+
EUT,4,95035418,102884938,+
galGal,Z,18844681,21765913,-
EUT,4,102884938,127433141,+
galGal,Z,9958557,18524952,-
EUT,4,127433141,128130416,+
galGal,Z,9741889,9948200,+
EUT,4,128130416,128647098,+
galGal,Z,9525681,9678558,-
EUT,4,128647098,131441337,+
galGal,2,69239564,70066328,+
EUT,4,131441337,146118668,+
galGal,2,70958170,76707003,+
EUT,4,146118668,147682658,+
galGal,2,77730788,78212162,+
EUT,4,147682658,149034101,+
galGal,2,79168036,79752649,+
EUT,4,149034101,151258397,+
galGal,2,87184431,87809830,-
EUT,5,1654087,3734767,+
galGal,26,4029569,4628349,-
EUT,5,3734767,4311229,+
galGal,26,93075,202096,+
EUT,5,4311229,8140310,+
galGal,3,27692992,29556629,-
EUT,5,8140310,9268030,+
galGal,26,4648119,5109144,+
EUT,5,9268030,9703225,+
galGal,3,22202143,22390342,+
EUT,5,9703225,11631799,+
galGal,3,29557808,30391814,-
EUT,5,11631799,15217329,+
galGal,3,108479287,109871926,+
EUT,5,15745028,19019476,+
galGal,3,107120870,108445643,-
EUT,5,19019476,19504226,+
galGal,3,87714064,87838026,-
EUT,5,19504226,22377122,+
galGal,3,86078837,87152776,-
EUT,5,22377122,24340394,+
galGal,3,84136227,84948599,-
EUT,5,24340394,34640292,+
galGal,3,79491335,83653733,-
EUT,5,34640292,43807379,+
galGal,3,75594358,79176373,-
EUT,5,43807379,66249384,+
galGal,3,65001152,75196979,-
EUT,5,66589899,90708869,+
galGal,3,53405330,64684568,-
EUT,5,90708869,94610452,+
galGal,3,51544737,52943672,-
EUT,5,94610452,108714651,+
galGal,3,45285651,51284541,+
EUT,5,108714651,115026909,+
galGal,3,42408076,45112260,-
EUT,6,0,1147514,+
galGal,9,788435,1076097,-
