name,chr,start,end,direction
EUA,1,0,2759958,+
SIM,1,143827565,146863875,+
EUA,1,2759958,5206843,+
SIM,1,140506073,143199488,+
EUA,1,5206843,141658728,+
SIM,1,0,140506073,-
EUA,1,141658728,220338031,+
SIM,1,146863875,226357200,+
EUA,2,0,18419861,+
SIM,24,0,18486606,-
EUA,2,18419861,95223301,+
SIM,16,0,78575375,+
EUA,2,95223301,212839994,+
SIM,11,0,120398945,+
EUA,3,0,181443299,+
SIM,2,0,185319467,+
EUA,3,181443299,200312170,+
SIM,6,99363954,119196034,-
EUA,4,0,171106391,+
SIM,3,0,179334197,+
EUA,5,0,156405648,+
SIM,4,0,170816188,+
EUA,6,0,4490549,+
SIM,28,0,4907197,+
EUA,6,4490549,17522368,+
SIM,19,0,13500968,+
EUA,6,17522368,22646606,+
SIM,19,14242970,19367208,-
EUA,6,22646606,23388608,+
SIM,19,13500968,14242970,+
EUA,6,23388608,23909336,+
SIM,19,19367208,19887936,-
EUA,6,23909336,28668773,+
SIM,19,19887936,24960388,+
EUA,6,28668773,29390158,+
SIM,19,24960388,25681773,-
EUA,6,29390158,71449956,+
SIM,19,25887171,68766511,+
EUA,6,71449956,155993896,+
SIM,15,811485,86122182,+
EUA,7,0,122889993,+
SIM,9,209226,128260834,+
EUA,8,0,121488900,+
SIM,5,0,125817750,-
EUA,9,0,118892436,+
SIM,7,0,133547537,+
EUA,10,0,18030675,+
SIM,23,0,18507339,+
EUA,10,18030675,109624228,+
SIM,8,25566678,129112037,+
EUA,11,0,13475713,+
SIM,12,92391971,107676076,+
EUA,11,13475713,15032559,+
SIM,12,90835125,92391971,-
EUA,11,15032559,15678040,+
SIM,12,87047664,87693145,-
EUA,11,15678040,17902450,+
SIM,12,87975045,90199455,-
EUA,11,17902450,99634657,+
SIM,12,1141881,86791869,-
EUA,12,0,96777711,+
SIM,13,0,99175704,+
EUA,12,96777711,98960368,+
SIM,29,0,2182657,+
EUA,13,0,98642445,+
SIM,6,0,99363954,+
EUA,14,0,61515186,+
SIM,14,0,61890980,+
EUA,14,61515186,67030059,+
SIM,14,62556817,68071690,-
EUA,14,67030059,86239656,+
SIM,14,68071690,87795249,+
EUA,15,0,83884457,+
SIM,10,2899151,88167072,+
EUA,16,0,70559044,+
SIM,17,0,73368134,+
EUA,17,0,42207037,+
SIM,18,0,43825204,+
EUA,17,42207037,43240965,+
SIM,21,28023561,29057489,-
EUA,17,43240965,50380190,+
SIM,21,29057489,36616839,+
EUA,17,50380190,50712555,+
SIM,21,37084606,37416971,-
EUA,17,50712555,68078931,+
SIM,21,37416971,58337457,+
EUA,18,0,16838543,+
SIM,25,0,17279071,+
EUA,18,16838543,44768898,+
SIM,22,0,29114741,+
EUA,18,44768898,48401390,+
SIM,22,29570052,33202544,-
EUA,18,48401390,51448707,+
SIM,26,24953,3319167,+
EUA,18,51448707,53429490,+
SIM,26,3363181,5343964,-
EUA,18,53429490,62619669,+
SIM,26,5558259,14919192,+
EUA,18,62619669,64049009,+
SIM,22,33448850,34878190,+
EUA,19,0,57748556,+
SIM,20,0,58826168,+
EUA,20,0,26778029,+
SIM,10,96289264,124535833,-
EUA,20,26778029,27197802,+
SIM,10,95536660,95956433,+
EUA,20,27197802,33830033,+
SIM,10,88167072,95073597,-
EUA,21,0,10202690,+
SIM,8,0,12305843,+
EUA,21,10202690,21150515,+
SIM,8,12305843,23330591,-
EUA,21,21150515,23224573,+
SIM,8,23330591,25404649,-
EUA,21,23224573,30063340,+
SIM,23,18579710,25852012,-
EUA,21,30063340,32186804,+
SIM,23,25852012,27975476,-
EUA,22,4379,16520063,+
SIM,18,55047631,72989564,-
EUA,22,16520063,16918847,+
SIM,18,54638926,55037710,+
EUA,22,16918847,27719354,+
SIM,18,43825204,54625711,-
EUA,23,0,11322496,+
SIM,6,119196034,131465024,+
EUA,23,11322496,11715794,+
SIM,6,131465024,131858322,-
EUA,23,11715794,17065287,+
SIM,6,131858322,137207815,+
EUA,24,0,16991330,+
SIM,21,0,19129098,-
EUA,25,0,15422976,+
SIM,5,128416164,144816281,+
EUA,26,0,1942366,+
SIM,27,4332677,6458433,+
EUA,26,1942366,6275043,+
SIM,27,0,4332677,+
EUA,27,0,2550103,+
SIM,23,28306526,30864221,+
EUA,28,0,2207798,+
SIM,8,129112037,131499566,-
EUA,29,0,1058586,+
SIM,24,18486606,19545192,+
EUA,30,0,1000214,+
SIM,23,31047859,32048073,-
EUA,X,0,11839732,+
SIM,X,1393519,14684481,+
EUA,X,11839732,12301943,+
SIM,X,14684481,15146692,-
EUA,X,12301943,122517148,+
SIM,X,15146692,140667973,+
