name,chr,start,end,direction
SIM,1,0,803974,+
calJac,17,73275933,73901206,-
SIM,1,803974,19244682,+
calJac,15,50841,18505110,-
SIM,1,19244682,95166335,+
calJac,17,45417,73259138,+
SIM,1,95166335,129112138,+
calJac,15,18505726,53304939,+
SIM,1,129112138,129677339,+
calJac,15,53304951,53832675,-
SIM,1,129677339,158868271,+
calJac,15,53832685,83008540,+
SIM,1,158868271,160394075,+
calJac,15,83095875,84566449,-
SIM,1,160394075,174315949,+
calJac,15,84593734,98416830,+
SIM,1,174315949,193160306,+
calJac,21,181166,17681897,+
SIM,1,193160306,226357200,+
calJac,21,18796782,50460477,+
SIM,2,0,4135311,+
calJac,3,186852514,190803657,-
SIM,2,4135311,41872225,+
calJac,3,147629811,186339993,-
SIM,2,41872225,42504935,+
calJac,3,146996309,147625974,+
SIM,2,42504935,64700059,+
calJac,3,125545764,146991778,-
SIM,2,64700059,185319467,+
calJac,3,10288,125111280,-
SIM,3,0,689084,+
calJac,2,60426763,60609434,+
SIM,3,689084,1896590,+
calJac,2,59078930,60192908,-
SIM,3,1896590,2521229,+
calJac,2,60754878,61331714,-
SIM,3,2521229,3315436,+
calJac,2,63173488,63867230,-
SIM,3,3315436,4854091,+
calJac,2,61610292,62912040,+
SIM,3,4854091,11317250,+
calJac,2,63878128,70730432,+
SIM,3,11317250,23882609,+
calJac,2,18017667,30894128,-
SIM,3,23882609,46719631,+
calJac,2,31054128,55228983,-
SIM,3,46719631,80637407,+
calJac,2,71029139,107145022,+
SIM,3,80637407,151603018,+
calJac,2,107497664,175142039,+
SIM,3,151603018,179334197,+
calJac,2,175543619,204303656,+
SIM,4,0,141599106,+
calJac,4,30034923,171614469,-
SIM,4,141599106,145216944,+
calJac,4,24801,2679860,+
SIM,4,145216944,145667426,+
calJac,4,2680049,3137833,-
SIM,4,145667426,170816188,+
calJac,4,3138405,29029952,+
SIM,5,0,41144794,+
calJac,8,87329120,128147424,+
SIM,5,41144794,65812311,+
calJac,8,61804225,87292873,-
SIM,5,65812311,66116269,+
calJac,8,61404585,61711707,+
SIM,5,66116269,102376599,+
calJac,8,24062606,61383309,-
SIM,5,102376599,125817750,+
calJac,8,13162,22319476,+
SIM,5,125817750,128416164,+
calJac,2,460624,1909701,+
SIM,5,128416164,135079122,+
calJac,2,2730385,9110349,+
SIM,5,135079122,143355446,+
calJac,2,9483105,17940649,+
SIM,5,143355446,145491646,+
calJac,2,55302604,57659790,+
SIM,6,0,47430059,+
calJac,16,49727012,96710483,+
SIM,6,47430059,99363954,+
calJac,16,18835,49564992,-
SIM,6,99363954,113735851,+
calJac,13,27205766,41353774,-
SIM,6,113735851,122374835,+
calJac,13,16988741,25767652,-
SIM,6,122374835,122964331,+
calJac,13,16392441,16988041,+
SIM,6,122964331,130391077,+
calJac,13,8952820,16392435,-
SIM,6,130391077,137207815,+
calJac,13,22988,6284961,-
SIM,7,0,101290355,+
calJac,11,34922026,130387201,-
SIM,7,101290355,109204837,+
calJac,11,491640,8214696,+
SIM,7,109204837,109514274,+
calJac,11,8214693,8536067,-
SIM,7,109514274,133547537,+
calJac,11,8537104,33852173,+
SIM,8,0,40449895,+
calJac,9,82952113,124271706,-
SIM,8,40449895,47929994,+
calJac,9,75303627,82928414,+
SIM,8,47929994,85181292,+
calJac,9,37118330,75287003,-
SIM,8,85181292,85804266,+
calJac,9,83919,609771,-
SIM,8,85804266,111416276,+
calJac,9,23438894,37111419,+
SIM,8,111416276,122432926,+
calJac,9,658745,11396502,+
SIM,8,122432926,131499566,+
calJac,9,11860497,21548855,-
SIM,8,131499566,131826255,+
calJac,9,11406115,11735670,+
SIM,9,0,5057900,+
calJac,6,28547830,32593131,+
SIM,9,5057900,71992181,+
calJac,6,32593790,101002263,-
SIM,9,71992181,128260834,+
calJac,6,101003204,158396306,+
SIM,10,0,61311673,+
calJac,12,59064531,121721829,-
SIM,10,61311673,61983916,+
calJac,12,58394935,59062588,+
SIM,10,61983916,84528243,+
calJac,12,36292235,58392466,-
SIM,10,84528243,88167072,+
calJac,12,30577903,33466495,-
SIM,10,88167072,98405331,+
calJac,7,24735879,33942268,-
SIM,10,98405331,98736817,+
