name,chr,start,end,direction
GAP,1,50826652,65938443,+
HUC,1,0,15111791,
GAP,1,65942672,126133405,+
HUC,1,15111791,75302524,
GAP,1,126133405,193720908,+
HUC,1,126649952,194692794,+
GAP,2,0,4135311,+
HUC,29,0,4135311,+
GAP,2,4135311,8614572,+
HUC,29,4135311,8614572,
GAP,2,8614572,186104451,+
HUC,2,248862,178465198,+
GAP,3,0,173908854,+
HUC,3,0,175845231,+
GAP,4,0,165927944,+
HUC,4,0,166808476,+
GAP,5,0,10860057,+
HUC,28,0,11732374,
GAP,5,10860057,141011944,+
HUC,6,0,130391077,+
GAP,6,0,56417258,+
HUC,5,89038968,145440558,
GAP,6,56419293,77106734,+
HUC,5,63330195,84212670,+
GAP,6,77106734,131193242,+
HUC,5,182270,54494191,+
GAP,6,131193242,136472669,+
HUC,5,54494191,59773618,
GAP,7,0,129603439,+
HUC,7,0,129701068,+
GAP,8,0,18449738,+
HUC,8,0,18593106,
GAP,8,18504981,128342186,+
HUC,8,18667135,128671969,+
GAP,9,1872,63093424,+
HUC,16,16656823,79980415,
GAP,9,63093424,108236209,+
HUC,23,3480164,48649063,+
GAP,9,108236209,123978621,+
HUC,16,0,16340650,+
GAP,9,123978621,127278998,+
HUC,23,0,3300377,
GAP,10,0,120274733,+
HUC,9,0,120580719,+
GAP,10,120275755,120648360,+
HUC,9,120580719,120953324,
GAP,11,0,70294871,+
HUC,20,661152,71022923,
GAP,11,70294871,112353498,+
HUC,25,0,41169150,+
GAP,11,112495592,112881245,+
HUC,32,0,385653,+
GAP,12,81896,2511204,+
HUC,10,88277470,91173120,+
GAP,12,2511204,18111331,+
HUC,10,91856360,108016187,+
GAP,12,18392102,105870741,+
HUC,10,0,88277470,
GAP,13,0,1222811,+
HUC,9,121039928,122652097,+
GAP,13,1222811,100043680,+
HUC,11,1209764,100030633,+
GAP,14,0,94743541,+
HUC,12,0,95014112,+
GAP,15,0,87133029,+
HUC,13,440810,87901118,+
GAP,16,0,35709389,+
HUC,14,499614,36832229,+
GAP,16,35709389,82082076,+
HUC,24,0,47552657,
GAP,17,769089,78654551,+
HUC,15,955661,80323522,+
GAP,18,0,26835098,+
HUC,17,0,28218203,+
GAP,18,26835098,27483245,+
HUC,17,29294164,29942311,
GAP,18,27483245,55055628,+
HUC,17,30025104,57440700,+
GAP,18,55055628,59372542,+
HUC,17,57440700,61759051,
GAP,18,59372542,75243436,+
HUC,17,61759051,77685181,+
GAP,19,0,73982347,+
HUC,19,720107,74749605,+
GAP,20,0,33032583,+
HUC,21,25749197,58865563,
GAP,20,33046393,58680474,+
HUC,21,0,25695992,+
GAP,21,85701,54506772,+
HUC,22,0,54613225,+
GAP,22,0,398129,+
HUC,14,101485,499614,+
GAP,22,398129,46616420,+
HUC,14,36975675,83322635,+
GAP,23,0,39042414,+
HUC,18,0,39850147,+
GAP,24,0,35921456,+
HUC,18,40439387,76693745,
GAP,24,35921456,36510696,+
HUC,18,39850147,40439387,+
GAP,25,383189,33842773,+
HUC,26,366394,34126795,+
GAP,26,0,33091133,+
HUC,27,0,33174843,+
GAP,27,1225473,5963043,+
HUC,30,0,4737570,+
GAP,27,6097720,6279990,+
HUC,5,0,182270,+
GAP,27,6279990,10921015,+
HUC,5,84212670,88853695,+
GAP,27,10921015,12541040,+
HUC,5,61710170,63330195,
GAP,27,12620482,14511535,+
HUC,5,59773618,61664671,+
GAP,28,0,668663,+
HUC,23,48649063,49317726,+
GAP,28,668663,1434892,+
HUC,31,408856,1175085,+
GAP,29,0,354720,+
HUC,10,91501640,91856360,+
GAP,X,251,151119577,+
HUC,X,0,151075553,+
