name,chr,start,end,direction
BOR,1,0,1228139,+
capHir,22,56663134,57347240,-
BOR,1,1228139,4356555,+
capHir,22,54018723,56357817,-
BOR,1,4356555,13070428,+
capHir,22,16457256,24707048,+
BOR,1,13070428,33140132,+
capHir,22,28333360,47940399,+
BOR,1,33140132,40522333,+
capHir,22,48432570,53971943,+
BOR,1,40522333,46977877,+
capHir,22,11543686,16235393,-
BOR,1,46977877,57347169,+
capHir,22,1364088,11238854,-
BOR,1,57347169,62510557,+
capHir,27,37651470,42579411,+
BOR,1,62510557,67084655,+
capHir,1,150115161,154885190,-
BOR,1,67084655,67396414,+
capHir,1,149182062,149594470,-
BOR,1,67396414,69415859,+
capHir,1,134311236,136790831,-
BOR,1,69415859,87711709,+
capHir,1,114395116,133997056,-
BOR,1,87711709,90739917,+
capHir,1,109554869,112629136,-
BOR,1,90739917,92808713,+
capHir,1,106852296,108998559,-
BOR,1,92808713,94996614,+
capHir,1,103978053,106378114,-
BOR,1,94996614,98185047,+
capHir,1,98663516,101213098,-
BOR,1,98185047,121584851,+
capHir,1,74323968,98177700,-
BOR,1,121584851,140020128,+
capHir,1,55678800,73931525,-
BOR,1,140020128,146449561,+
capHir,1,48571694,55219424,-
BOR,1,146449561,152548819,+
capHir,1,41636175,47927555,-
BOR,1,152548819,168799456,+
capHir,1,24246630,41069699,-
BOR,1,168799456,171031817,+
capHir,1,21931181,24157611,+
BOR,1,171031817,181897608,+
capHir,1,11404731,21750517,-
BOR,1,181897608,190869898,+
capHir,1,168874,10388154,-
BOR,1,190869898,195262374,+
capHir,1,144428348,148967271,+
BOR,1,195262374,199066097,+
capHir,1,136822403,140729826,+
BOR,1,199066097,202071100,+
capHir,1,141077404,144028542,+
BOR,2,0,1696529,+
capHir,28,15224,1458185,+
BOR,2,1696529,10622360,+
capHir,28,1761229,10727380,+
BOR,2,10622360,11475188,+
capHir,16,33007867,33656063,-
BOR,2,11475188,12173544,+
capHir,16,32044350,32618788,-
BOR,2,12173544,20556144,+
capHir,16,23020208,31508201,-
BOR,2,20556144,24532864,+
capHir,16,16502310,20766182,-
BOR,2,24532864,25202527,+
capHir,16,6050299,6865171,-
BOR,2,25202527,26419253,+
capHir,16,66679700,68112858,+
BOR,2,26419253,26861817,+
capHir,16,5871190,6049449,-
BOR,2,26861817,28619409,+
capHir,16,68495950,70012675,+
BOR,2,28619409,30834270,+
capHir,16,70773114,73181081,+
BOR,2,30834270,34888107,+
capHir,16,443779,4274380,-
BOR,2,34888107,35264940,+
capHir,16,77427533,77676402,+
BOR,2,35264940,38490494,+
capHir,16,73624276,76638448,-
BOR,2,38490494,38888532,+
capHir,16,5024663,5653182,+
BOR,2,38888532,47837210,+
capHir,16,6667972,16366484,+
BOR,2,47837210,55536706,+
capHir,16,58213806,65721222,-
BOR,2,55536706,61080355,+
capHir,16,52343484,57897984,-
BOR,2,61080355,62973688,+
capHir,16,36233284,38405472,-
BOR,2,62973688,64965913,+
capHir,16,33408378,35644416,-
BOR,2,64965913,69827652,+
capHir,3,166387,5336979,+
BOR,2,69827652,73577348,+
capHir,3,6097318,10176215,+
BOR,2,73577348,79387359,+
capHir,3,11102206,17205902,+
BOR,2,79387359,82521547,+
capHir,3,17730555,20734817,+
BOR,2,82521547,82894152,+
capHir,3,20814175,21059837,-
BOR,2,82894152,91304932,+
capHir,3,21090918,29721491,+
BOR,2,91304932,93877876,+
capHir,3,30240802,32771390,+
BOR,2,93877876,118436608,+
capHir,3,33320489,58230635,+
BOR,2,118436608,123837215,+
capHir,3,59523224,65306435,+
BOR,2,123837215,128849693,+
capHir,3,65685448,70944981,+
BOR,2,128849693,132084572,+
capHir,3,71295260,74589620,+
BOR,2,132084572,164440738,+
capHir,3,75313789,108523760,+
BOR,2,164440738,181983763,+
capHir,2,119663704,135333855,+
BOR,2,181983763,184429958,+
capHir,16,49479501,51760447,+
BOR,2,184429958,194415497,+
capHir,16,38704986,47927084,+
BOR,2,194415497,195644918,+
capHir,16,48317147,49128815,+
BOR,3,0,2504279,+
capHir,6,112012959,113827667,-
BOR,3,2504279,4066710,+
capHir,6,110018849,111371499,-
BOR,3,4066710,5194372,+
capHir,6,100049115,101100971,+
BOR,3,5194372,6138024,+
capHir,6,102459365,103426693,+
BOR,3,6138024,10238424,+
capHir,6,103773068,107893947,+
BOR,3,10238424,11791197,+
capHir,6,108214414,109841773,+
BOR,3,11791197,38112315,+
capHir,6,35482901,61324724,+
BOR,3,38112315,45620966,+
capHir,6,61856419,68894939,+
BOR,3,45620966,58207590,+
capHir,6,69256487,82133261,+
BOR,3,58207590,63034981,+
capHir,6,83040753,87292534,+
BOR,3,63034981,70160262,+
capHir,6,87622529,94877405,+
BOR,3,70160262,71367280,+
capHir,6,95719249,96943997,+
BOR,3,71367280,73700171,+
capHir,6,97256592,99664282,+
BOR,3,73700171,74110138,+
capHir,6,34050391,34449499,-
BOR,3,74110138,81017168,+
capHir,6,26146929,33258827,-
BOR,3,81017168,86265490,+
capHir,6,20781082,25555876,-
BOR,3,86265490,91388749,+
capHir,6,14571985,19480122,-
BOR,3,91388749,96820285,+
capHir,6,8630138,13650141,-
BOR,3,96820285,101614363,+
capHir,6,3037919,7656083,-
BOR,3,101614363,102719878,+
capHir,17,34457570,35525752,-
BOR,3,102719878,134013021,+
capHir,17,1940527,33902726,-
BOR,3,134013021,140624164,+
capHir,17,35726211,43387841,-
BOR,3,140624164,142627990,+
capHir,6,124828,2666614,-
BOR,3,142627990,143721406,+
capHir,17,69068,1724474,+
BOR,3,143721406,150138854,+
capHir,8,598326,7026687,+
BOR,3,150138854,169745796,+
capHir,27,5964463,23030122,+
BOR,3,169745796,177020934,+
capHir,27,24412700,30794718,+
BOR,3,177020934,178602228,+
capHir,27,31466965,32871464,+
BOR,3,178602228,182658498,+
capHir,27,33763006,37518196,+
BOR,4,0,689084,+
capHir,7,36222043,36878942,-
BOR,4,689084,2140496,+
capHir,7,126592,1983772,+
BOR,4,2140496,4146918,+
capHir,7,34140447,36079523,-
BOR,4,4146918,5241560,+
capHir,10,4915852,6092213,+
BOR,4,5241560,11356824,+
capHir,20,391082,6577275,-
BOR,4,11356824,14995050,+
capHir,7,72865282,76621687,-
BOR,4,14995050,22239358,+
capHir,7,64741524,72485730,-
BOR,4,22239358,26804730,+
capHir,7,56032077,60503815,-
BOR,4,26804730,36832853,+
capHir,7,45670090,55671976,-
BOR,4,36832853,41482887,+
capHir,7,40594823,45243276,-
BOR,4,41482887,43199245,+
capHir,7,17981386,19724322,+
BOR,4,43199245,56988467,+
capHir,7,20281724,34119695,+
BOR,4,56988467,59533724,+
capHir,10,2210480,4761038,-
BOR,4,59533724,59962842,+
capHir,10,874213,1234790,+
BOR,4,59962842,60573255,+
capHir,10,1584408,2150192,+
BOR,4,60573255,66498876,+
capHir,7,99878302,105692774,-
BOR,4,66498876,70402856,+
capHir,7,95548062,99392365,-
BOR,4,70402856,88886633,+
capHir,7,76588033,94792299,-
BOR,4,88886633,93746245,+
capHir,10,6286953,10801574,-
BOR,4,93746245,95518487,+
capHir,20,6589553,8434800,+
BOR,4,95518487,96779365,+
capHir,20,8846175,10044385,+
BOR,4,96779365,101209879,+
capHir,20,10428727,14626385,+
BOR,4,101209879,104628885,+
capHir,20,15010659,18273112,+
BOR,4,104628885,120384222,+
capHir,20,19009553,30963063,+
BOR,4,120384222,125608257,+
capHir,20,31489419,36358607,+
BOR,4,125608257,134565900,+
capHir,20,36823184,45088155,+
BOR,4,134565900,153471726,+
capHir,20,45494656,64208414,+
BOR,4,153471726,157778808,+
capHir,20,64677814,68687214,+
BOR,4,157778808,158220777,+
capHir,20,70994148,71218665,+
BOR,5,0,2397118,+
capHir,21,29200,3065426,-
BOR,5,2397118,4651968,+
capHir,21,3243178,5729121,+
BOR,5,4651968,15365644,+
capHir,21,6338954,17709239,+
BOR,5,15365644,17625074,+
capHir,21,18015959,20142808,+
BOR,5,17625074,19222695,+
capHir,21,21518137,22883658,-
BOR,5,19222695,20110408,+
capHir,21,24116491,24910491,-
BOR,5,20110408,20447542,+
capHir,21,28464241,28624840,-
BOR,5,20447542,21872287,+
capHir,21,30842644,32024879,+
BOR,5,21872287,29928512,+
capHir,10,11703297,20240200,-
BOR,5,29928512,34592312,+
capHir,10,41506750,46687204,+
BOR,5,34592312,37013863,+
capHir,10,47036911,49399087,+
BOR,5,37013863,47884163,+
capHir,10,50389009,61535809,+
BOR,5,47884163,48268108,+
capHir,10,98774230,99106980,-
BOR,5,48268108,49277271,+
capHir,21,52027205,52879180,-
BOR,5,49277271,49868554,+
capHir,10,34353853,34830764,-
BOR,5,49868554,59296585,+
capHir,10,24670370,33670068,-
BOR,5,59296585,63263978,+
capHir,10,20243651,23502179,-
BOR,5,63263978,66365125,+
capHir,21,32752939,35969540,+
BOR,5,66365125,67998708,+
capHir,21,36499811,38207400,+
BOR,5,67998708,78269535,+
capHir,21,39043477,48352825,+
BOR,5,78269535,81997339,+
capHir,21,48754733,51954982,+
BOR,5,81997339,88889666,+
capHir,10,34778460,41369770,+
BOR,5,88889666,107870147,+
capHir,10,61656627,79628276,+
BOR,5,107870147,123854849,+
capHir,10,80357389,96464928,+
BOR,5,123854849,125660962,+
capHir,10,97009447,98708206,+
BOR,5,125660962,126059391,+
capHir,21,52910948,53221271,+
BOR,5,126059391,139695967,+
capHir,21,53524542,66764965,+
BOR,6,0,802787,+
capHir,23,26256898,26616576,-
BOR,6,802787,1654087,+
capHir,23,25035661,25940844,-
BOR,6,1654087,5003083,+
capHir,23,6843669,10004109,+
BOR,6,5003083,20903817,+
capHir,23,10667283,24645514,+
BOR,6,20903817,22541882,+
capHir,23,4299345,5996088,-
BOR,6,22541882,23776713,+
capHir,23,2343600,3654743,-
BOR,6,23776713,32083066,+
capHir,14,308043,10222268,-
BOR,6,32083066,42390713,+
capHir,9,136729,10871072,+
BOR,6,42390713,73278828,+
capHir,9,21479585,52143266,-
BOR,6,73278828,83600273,+
capHir,9,11208039,20998377,-
BOR,6,83600273,89030282,+
capHir,9,52534307,58089951,+
BOR,6,89030282,94417382,+
